end,dengue fever: (Singapore),insect repellent: (Singapore),end
2015-05-24,16,2,2015-05-24
2015-05-31,14,1,2015-05-31
2015-06-07,12,2,2015-06-07
2015-06-14,17,2,2015-06-14
2015-06-21,17,2,2015-06-21
2015-06-28,14,0,2015-06-28
2015-07-05,18,5,2015-07-05
2015-07-12,16,4,2015-07-12
2015-07-19,10,2,2015-07-19
2015-07-26,9,0,2015-07-26
2015-08-02,7,1,2015-08-02
2015-08-09,10,0,2015-08-09
2015-08-16,11,0,2015-08-16
2015-08-23,9,0,2015-08-23
2015-08-30,12,3,2015-08-30
2015-09-06,14,2,2015-09-06
2015-09-13,13,2,2015-09-13
2015-09-20,12,0,2015-09-20
2015-09-27,18,0,2015-09-27
2015-10-04,14,2,2015-10-04
2015-10-11,13,1,2015-10-11
2015-10-18,12,2,2015-10-18
2015-10-25,15,0,2015-10-25
2015-11-01,12,2,2015-11-01
2015-11-08,14,4,2015-11-08
2015-11-15,16,4,2015-11-15
2015-11-22,11,6,2015-11-22
2015-11-29,12,3,2015-11-29
2015-12-06,19,0,2015-12-06
2015-12-13,16,2,2015-12-13
2015-12-20,14,2,2015-12-20
2015-12-27,23,4,2015-12-27
2016-01-03,26,5,2016-01-03
2016-01-10,30,0,2016-01-10
2016-01-17,28,2,2016-01-17
2016-01-24,29,6,2016-01-24
2016-01-31,35,7,2016-01-31
2016-02-07,29,0,2016-02-07
2016-02-14,38,4,2016-02-14
2016-02-21,37,6,2016-02-21
2016-02-28,34,4,2016-02-28
2016-03-06,23,2,2016-03-06
2016-03-13,18,4,2016-03-13
2016-03-20,17,4,2016-03-20
2016-03-27,21,0,2016-03-27
2016-04-03,21,5,2016-04-03
2016-04-10,15,5,2016-04-10
2016-04-17,13,2,2016-04-17
2016-04-24,10,0,2016-04-24
2016-05-01,10,3,2016-05-01
2016-05-08,10,2,2016-05-08
2016-05-15,11,2,2016-05-15
2016-05-22,11,4,2016-05-22
2016-05-29,7,1,2016-05-29
2016-06-05,16,3,2016-06-05
2016-06-12,10,0,2016-06-12
2016-06-19,11,7,2016-06-19
2016-06-26,14,2,2016-06-26
2016-07-03,10,3,2016-07-03
2016-07-10,17,0,2016-07-10
2016-07-17,16,6,2016-07-17
2016-07-24,16,0,2016-07-24
2016-07-31,14,3,2016-07-31
2016-08-07,13,0,2016-08-07
2016-08-14,14,2,2016-08-14
2016-08-21,14,4,2016-08-21
2016-08-28,22,100,2016-08-28
2016-09-04,11,51,2016-09-04
2016-09-11,14,12,2016-09-11
2016-09-18,9,8,2016-09-18
2016-09-25,8,5,2016-09-25
2016-10-02,4,4,2016-10-02
2016-10-09,11,2,2016-10-09
2016-10-16,8,2,2016-10-16
2016-10-23,9,2,2016-10-23
2016-10-30,10,1,2016-10-30
2016-11-06,3,2,2016-11-06
2016-11-13,7,0,2016-11-13
2016-11-20,6,2,2016-11-20
2016-11-27,6,3,2016-11-27
2016-12-04,4,2,2016-12-04
2016-12-11,6,4,2016-12-11
2016-12-18,5,3,2016-12-18
2016-12-25,5,2,2016-12-25
2017-01-01,37,25,2017-01-01
2017-01-08,50,31,2017-01-08
2017-01-15,39,28,2017-01-15
2017-01-22,66,18,2017-01-22
2017-01-29,30,10,2017-01-29
2017-02-05,97,19,2017-02-05
2017-02-12,30,40,2017-02-12
2017-02-19,79,27,2017-02-19
2017-02-26,26,30,2017-02-26
2017-03-05,53,0,2017-03-05
2017-03-12,69,33,2017-03-12
2017-03-19,26,20,2017-03-19
2017-03-26,38,32,2017-03-26
2017-04-02,56,51,2017-04-02
2017-04-09,25,0,2017-04-09
2017-04-16,58,17,2017-04-16
2017-04-23,49,21,2017-04-23
2017-04-30,50,24,2017-04-30
2017-05-07,53,17,2017-05-07
2017-05-14,60,24,2017-05-14
2017-05-21,59,29,2017-05-21
2017-05-28,63,0,2017-05-28
2017-06-04,68,23,2017-06-04
2017-06-11,68,0,2017-06-11
2017-06-18,53,15,2017-06-18
2017-06-25,59,0,2017-06-25
2017-07-02,59,10,2017-07-02
2017-07-09,55,28,2017-07-09
2017-07-16,64,14,2017-07-16
2017-07-23,45,77,2017-07-23
2017-07-30,31,38,2017-07-30
2017-08-06,33,27,2017-08-06
2017-08-13,60,16,2017-08-13
2017-08-20,44,11,2017-08-20
2017-08-27,35,10,2017-08-27
2017-09-03,61,0,2017-09-03
2017-09-10,53,0,2017-09-10
2017-09-17,63,0,2017-09-17
2017-09-24,71,16,2017-09-24
2017-10-01,48,13,2017-10-01
2017-10-08,56,29,2017-10-08
2017-10-15,59,19,2017-10-15
2017-10-22,55,0,2017-10-22
2017-10-29,54,20,2017-10-29
2017-11-05,68,0,2017-11-05
2017-11-12,42,0,2017-11-12
2017-11-19,55,0,2017-11-19
2017-11-26,65,11,2017-11-26
2017-12-03,49,40,2017-12-03
2017-12-10,78,35,2017-12-10
2017-12-17,47,12,2017-12-17
2017-12-24,26,0,2017-12-24
2017-12-31,48,32,2017-12-31
2018-01-07,32,5,2018-01-07
2018-01-14,21,6,2018-01-14
2018-01-21,31,14,2018-01-21
2018-01-28,25,9,2018-01-28
2018-02-04,30,9,2018-02-04
2018-02-11,6,0,2018-02-11
2018-02-18,24,0,2018-02-18
2018-02-25,16,5,2018-02-25
2018-03-04,26,0,2018-03-04
2018-03-11,28,17,2018-03-11
2018-03-18,29,4,2018-03-18
2018-03-25,22,11,2018-03-25
2018-04-01,39,22,2018-04-01
2018-04-08,25,0,2018-04-08
2018-04-15,13,9,2018-04-15
2018-04-22,12,12,2018-04-22
2018-04-29,36,0,2018-04-29
2018-05-06,45,16,2018-05-06
2018-05-13,37,10,2018-05-13
2018-05-20,23,5,2018-05-20
2018-05-27,25,17,2018-05-27
2018-06-03,29,14,2018-06-03
2018-06-10,37,13,2018-06-10
2018-06-17,26,10,2018-06-17
2018-06-24,11,19,2018-06-24
2018-07-01,26,23,2018-07-01
2018-07-08,26,8,2018-07-08
2018-07-15,13,9,2018-07-15
2018-07-22,29,0,2018-07-22
2018-07-29,31,10,2018-07-29
2018-08-05,29,15,2018-08-05
2018-08-12,18,15,2018-08-12
2018-08-19,11,10,2018-08-19
