,Dengue fever: (Singapore),Insect repellent: (Singapore),end
243,0,0,2016-09-04
244,60,0,2016-09-11
245,0,0,2016-09-18
246,0,0,2016-09-25
247,40,0,2016-10-02
248,0,38,2016-10-09
249,35,0,2016-10-16
250,0,0,2016-10-23
251,0,0,2016-10-30
252,0,33,2016-11-06
253,0,0,2016-11-13
254,0,0,2016-11-20
255,0,34,2016-11-27
256,0,48,2016-12-04
257,0,0,2016-12-11
258,0,0,2016-12-18
259,0,0,2016-12-25
260,0,0,2017-01-01
261,58,0,2017-01-08
262,0,0,2017-01-15
263,26,0,2017-01-22
264,0,0,2017-01-29
265,0,0,2017-02-05
266,0,0,2017-02-12
267,0,0,2017-02-19
268,0,42,2017-02-26
269,0,0,2017-03-05
270,0,0,2017-03-12
271,34,0,2017-03-19
272,0,0,2017-03-26
273,0,100,2017-04-02
274,0,0,2017-04-09
275,53,0,2017-04-16
276,0,0,2017-04-23
277,0,0,2017-04-30
278,0,0,2017-05-07
279,0,0,2017-05-14
280,0,0,2017-05-21
281,0,0,2017-05-28
282,0,0,2017-06-04
283,0,38,2017-06-11
284,0,36,2017-06-18
285,0,27,2017-06-25
286,0,27,2017-07-02
287,0,0,2017-07-09
288,0,0,2017-07-16
289,0,0,2017-07-23
290,0,0,2017-07-30
291,0,0,2017-08-06
292,0,0,2017-08-13
293,0,0,2017-08-20
294,0,0,2017-08-27
295,63,0,2017-09-03
296,0,0,2017-09-10
297,0,0,2017-09-17
298,0,0,2017-09-24
299,0,0,2017-10-01
300,0,0,2017-10-08
301,77,0,2017-10-15
302,0,0,2017-10-22
303,0,0,2017-10-29
304,0,0,2017-11-05
305,0,0,2017-11-12
306,0,52,2017-11-19
307,0,0,2017-11-26
308,78,0,2017-12-03
309,0,0,2017-12-10
310,0,0,2017-12-17
311,0,0,2017-12-24
312,33,0,2017-12-31
313,33,0,2018-01-07
314,59,0,2018-01-14
315,0,0,2018-01-21
316,0,0,2018-01-28
317,0,0,2018-02-04
318,0,0,2018-02-11
319,0,0,2018-02-18
320,23,27,2018-02-25
321,0,33,2018-03-04
322,0,0,2018-03-11
323,25,30,2018-03-18
324,0,0,2018-03-25
325,34,31,2018-04-01
326,0,0,2018-04-08
327,40,0,2018-04-15
328,0,0,2018-04-22
329,0,0,2018-04-29
330,0,32,2018-05-06
331,0,0,2018-05-13
332,0,0,2018-05-20
333,39,0,2018-05-27
334,53,0,2018-06-03
335,0,0,2018-06-10
336,25,0,2018-06-17
337,0,0,2018-06-24
338,98,54,2018-07-01
339,0,0,2018-07-08
340,0,0,2018-07-15
341,0,0,2018-07-22
342,0,0,2018-07-29
343,35,0,2018-08-05
344,0,0,2018-08-12
345,0,0,2018-08-19
346,0,0,2018-08-26
347,100,0,2018-09-02
348,79,0,2018-09-09
349,0,0,2018-09-16
350,0,30,2018-09-23
351,0,0,2018-09-30
352,0,0,2018-10-07
353,51,0,2018-10-14
354,0,0,2018-10-21
355,34,0,2018-10-28
356,0,0,2018-11-04
357,0,32,2018-11-11
358,0,0,2018-11-18
359,0,0,2018-11-25
360,0,0,2018-12-02
361,0,38,2018-12-09
362,0,0,2018-12-16
363,0,0,2018-12-23
364,0,52,2018-12-30
365,0,0,2019-01-06
366,0,33,2019-01-13
367,0,0,2019-01-20
368,0,0,2019-01-27
369,0,0,2019-02-03
370,0,0,2019-02-10
371,58,0,2019-02-17
372,31,0,2019-02-24
373,0,0,2019-03-03
374,0,70,2019-03-10
375,35,0,2019-03-17
376,0,0,2019-03-24
377,23,31,2019-03-31
378,0,0,2019-04-07
379,0,0,2019-04-14
380,0,0,2019-04-21
381,31,0,2019-04-28
382,0,0,2019-05-05
383,0,65,2019-05-12
384,0,24,2019-05-19
385,0,0,2019-05-26
386,0,0,2019-06-02
387,0,0,2019-06-09
388,0,0,2019-06-16
389,26,0,2019-06-23
390,0,75,2019-06-30
391,47,0,2019-07-07
392,46,0,2019-07-14
393,0,0,2019-07-21
394,0,0,2019-07-28
395,0,0,2019-08-04
396,0,0,2019-08-11
397,0,25,2019-08-18
398,0,0,2019-08-25
399,0,29,2019-09-01
400,0,0,2019-09-08
401,80,0,2019-09-15
402,0,23,2019-09-22
403,0,0,2019-09-29
404,0,0,2019-10-06
405,22,0,2019-10-13
406,0,0,2019-10-20
407,0,0,2019-10-27
408,0,72,2019-11-03
409,0,24,2019-11-10
410,0,0,2019-11-17
411,0,100,2019-11-24
412,65,0,2019-12-01
413,0,0,2019-12-08
414,42,69,2019-12-15
415,0,0,2019-12-22
416,0,0,2019-12-29
417,0,0,2020-01-05
418,0,0,2020-01-12
419,0,0,2020-01-19
420,25,0,2020-01-26
421,0,0,2020-02-02
422,0,0,2020-02-09
423,0,0,2020-02-16
424,0,37,2020-02-23
425,0,0,2020-03-01
426,0,38,2020-03-08
427,0,0,2020-03-15
428,0,0,2020-03-22
429,0,0,2020-03-29
430,0,0,2020-04-05
431,20,0,2020-04-12
432,21,31,2020-04-19
433,33,0,2020-04-26
434,0,0,2020-05-03
435,0,0,2020-05-10
436,0,26,2020-05-17
437,22,0,2020-05-24
438,0,0,2020-05-31
439,31,0,2020-06-07
440,94,30,2020-06-14
441,30,0,2020-06-21
442,58,0,2020-06-28
443,61,66,2020-07-05
444,0,0,2020-07-12
445,31,0,2020-07-19
446,0,0,2020-07-26
447,38,0,2020-08-02
448,0,55,2020-08-09
449,0,0,2020-08-16
450,33,0,2020-08-23
451,52,0,2020-08-30
452,51,0,2020-09-06
453,0,0,2020-09-13
454,0,0,2020-09-20
455,0,0,2020-09-27
456,0,0,2020-10-04
457,0,0,2020-10-11
458,0,0,2020-10-18
459,0,0,2020-10-25
460,0,82,2020-11-01
461,100,0,2020-11-08
462,44,0,2020-11-15
463,0,0,2020-11-22
464,0,0,2020-11-29
465,0,63,2020-12-06
466,81,0,2020-12-13
467,0,0,2020-12-20
468,99,0,2020-12-27
469,30,42,2021-01-03
470,0,0,2021-01-10
471,27,0,2021-01-17
472,33,0,2021-01-24
473,0,0,2021-01-31
474,0,0,2021-02-07
475,0,0,2021-02-14
476,0,0,2021-02-21
477,0,0,2021-02-28
478,0,0,2021-03-07
479,0,0,2021-03-14
480,78,0,2021-03-21
481,0,64,2021-03-28
482,0,26,2021-04-04
483,0,0,2021-04-11
484,63,0,2021-04-18
485,0,0,2021-04-25
486,0,0,2021-05-02
487,0,0,2021-05-09
488,0,0,2021-05-16
489,56,0,2021-05-23
490,0,97,2021-05-30
491,0,0,2021-06-06
492,0,0,2021-06-13
493,0,0,2021-06-20
494,0,0,2021-06-27
495,0,0,2021-07-04
496,0,70,2021-07-11
497,0,0,2021-07-18
498,0,0,2021-07-25
499,0,0,2021-08-01
500,0,0,2021-08-08
501,0,0,2021-08-15
502,29,0,2021-08-22
503,42,0,2021-08-29
504,0,0,2021-09-05
505,0,0,2021-09-12
506,0,0,2021-09-19
507,0,0,2021-09-26
508,34,0,2021-10-03
509,0,65,2021-10-10
510,0,0,2021-10-17
511,0,0,2021-10-24
512,0,0,2021-10-31
513,0,0,2021-11-07
514,0,0,2021-11-14
515,0,0,2021-11-21
516,26,0,2021-11-28
517,0,0,2021-12-05
518,34,0,2021-12-12
519,54,0,2021-12-19
520,0,100,2021-12-26
521,0,0,2022-01-02
522,0,0,2022-01-09
523,29,0,2022-01-16
524,32,0,2022-01-23
525,0,0,2022-01-30
526,0,0,2022-02-06
527,0,0,2022-02-13
528,0,0,2022-02-20
529,0,0,2022-02-27
530,0,64,2022-03-06
531,0,26,2022-03-13
532,23,0,2022-03-20
533,0,0,2022-03-27
534,0,0,2022-04-03
535,0,34,2022-04-10
536,0,45,2022-04-17
537,0,0,2022-04-24
538,0,0,2022-05-01
539,0,26,2022-05-08
540,0,0,2022-05-15
541,0,0,2022-05-22
542,0,16,2022-05-29
543,26,0,2022-06-05
544,0,0,2022-06-12
545,14,0,2022-06-19
546,0,0,2022-06-26
547,0,0,2022-07-03
548,0,0,2022-07-10
549,42,0,2022-07-17
550,0,0,2022-07-24
551,14,0,2022-07-31
552,0,46,2022-08-07
553,14,0,2022-08-14
554,0,0,2022-08-21
555,0,15,2022-08-28
556,15,0,2022-09-04
557,0,0,2022-09-11
558,0,0,2022-09-18
559,46,0,2022-09-25
560,0,0,2022-10-02
561,0,0,2022-10-09
562,0,0,2022-10-16
563,0,29,2022-10-23
564,0,16,2022-10-30
565,23,0,2022-11-06
566,0,22,2022-11-13
567,0,0,2022-11-20
568,0,0,2022-11-27
569,0,65,2022-12-04
570,0,0,2022-12-11
571,0,100,2022-12-18
572,0,0,2022-12-25
573,0,15,2023-01-01
574,0,0,2023-01-08
575,0,30,2023-01-15
576,0,0,2023-01-22
577,0,17,2023-01-29
578,0,0,2023-02-05
579,0,0,2023-02-12
580,23,0,2023-02-19
581,0,0,2023-02-26
582,0,0,2023-03-05
583,0,0,2023-03-12
584,0,0,2023-03-19
585,0,0,2023-03-26
586,53,0,2023-04-02
587,0,0,2023-04-09
588,0,0,2023-04-16
589,0,0,2023-04-23
590,0,0,2023-04-30
591,0,0,2023-05-07
592,0,0,2023-05-14
593,0,0,2023-05-21
594,0,23,2023-05-28
595,0,0,2023-06-04
596,0,0,2023-06-11
597,0,0,2023-06-18
598,0,0,2023-06-25
599,0,0,2023-07-02
600,0,0,2023-07-09
601,17,0,2023-07-16
602,0,100,2023-07-23
603,0,0,2023-07-30
604,0,0,2023-08-06
