,end,dengue fever
245,2016-09-17,175.0
246,2016-09-24,174.0
247,2016-10-01,138.0
248,2016-10-08,125.0
249,2016-10-15,94.0
250,2016-10-22,108.0
251,2016-10-29,84.0
252,2016-11-05,85.0
253,2016-11-12,84.0
254,2016-11-19,72.0
255,2016-11-26,74.0
256,2016-12-03,86.0
257,2016-12-10,59.0
258,2016-12-17,81.0
259,2016-12-24,72.0
260,2016-12-31,64.0
261,2017-01-07,70.0
262,2017-01-14,90.0
263,2017-01-21,73.0
264,2017-01-28,63.0
265,2017-02-04,62.0
266,2017-02-11,77.0
267,2017-02-18,51.0
268,2017-02-25,54.0
269,2017-03-04,41.0
270,2017-03-11,32.0
271,2017-03-18,34.0
272,2017-03-25,32.0
273,2017-04-01,49.0
274,2017-04-08,37.0
275,2017-04-15,32.0
276,2017-04-22,51.0
277,2017-04-29,37.0
278,2017-05-06,42.0
279,2017-05-13,48.0
280,2017-05-20,48.0
281,2017-05-27,50.0
282,2017-06-03,66.0
283,2017-06-10,62.0
284,2017-06-17,79.0
285,2017-06-24,73.0
286,2017-07-01,75.0
287,2017-07-08,63.0
288,2017-07-15,53.0
289,2017-07-22,51.0
290,2017-07-29,66.0
291,2017-08-05,60.0
292,2017-08-12,56.0
293,2017-08-19,52.0
294,2017-08-26,51.0
295,2017-09-02,33.0
296,2017-09-09,40.0
297,2017-09-16,53.0
298,2017-09-23,58.0
299,2017-09-30,39.0
300,2017-10-07,51.0
301,2017-10-14,55.0
302,2017-10-21,62.0
303,2017-10-28,77.0
304,2017-11-04,62.0
305,2017-11-11,44.0
306,2017-11-18,50.0
307,2017-11-25,24.0
308,2017-12-02,37.0
309,2017-12-09,33.0
310,2017-12-16,40.0
311,2017-12-23,51.0
312,2017-12-30,66.0
313,2018-01-06,83.0
314,2018-01-13,68.0
315,2018-01-20,54.0
316,2018-01-27,45.0
317,2018-02-03,48.0
318,2018-02-10,50.0
319,2018-02-17,28.0
320,2018-02-24,38.0
321,2018-03-03,51.0
322,2018-03-10,37.0
323,2018-03-17,37.0
324,2018-03-24,36.0
325,2018-03-31,24.0
326,2018-04-07,38.0
327,2018-04-14,38.0
328,2018-04-21,56.0
329,2018-04-28,55.0
330,2018-05-05,74.0
331,2018-05-12,62.0
332,2018-05-19,63.0
333,2018-05-26,64.0
334,2018-06-02,52.0
335,2018-06-09,75.0
336,2018-06-16,55.0
337,2018-06-23,59.0
338,2018-06-30,75.0
339,2018-07-07,56.0
340,2018-07-14,44.0
341,2018-07-21,41.0
342,2018-07-28,56.0
343,2018-08-04,50.0
344,2018-08-11,59.0
345,2018-08-18,42.0
346,2018-08-25,66.0
347,2018-09-01,75.0
348,2018-09-08,75.0
349,2018-09-15,49.0
350,2018-09-22,63.0
351,2018-09-29,40.0
352,2018-10-06,51.0
353,2018-10-13,51.0
354,2018-10-20,60.0
355,2018-10-27,78.0
356,2018-11-03,75.0
357,2018-11-10,71.0
358,2018-11-17,78.0
359,2018-11-24,97.0
360,2018-12-01,109.0
361,2018-12-08,114.0
362,2018-12-15,107.0
363,2018-12-22,127.0
364,2018-12-29,160.0
365,2019-01-05,205.0
366,2019-01-12,245.0
367,2019-01-19,207.0
368,2019-01-26,221.0
369,2019-02-02,179.0
370,2019-02-09,135.0
371,2019-02-16,232.0
372,2019-02-23,181.0
373,2019-03-02,156.0
374,2019-03-09,133.0
375,2019-03-16,109.0
376,2019-03-23,96.0
377,2019-03-30,99.0
378,2019-04-06,108.0
379,2019-04-13,125.0
380,2019-04-20,134.0
381,2019-04-27,156.0
382,2019-05-04,192.0
383,2019-05-11,287.0
384,2019-05-18,307.0
385,2019-05-25,376.0
386,2019-06-01,400.0
387,2019-06-08,396.0
388,2019-06-15,464.0
389,2019-06-22,430.0
390,2019-06-29,492.0
391,2019-07-06,591.0
392,2019-07-13,661.0
393,2019-07-20,644.0
394,2019-07-27,601.0
395,2019-08-03,597.0
396,2019-08-10,521.0
397,2019-08-17,522.0
398,2019-08-24,474.0
399,2019-08-31,412.0
400,2019-09-07,326.0
401,2019-09-14,314.0
402,2019-09-21,299.0
403,2019-09-28,258.0
404,2019-10-05,243.0
405,2019-10-12,227.0
406,2019-10-19,239.0
407,2019-10-26,241.0
408,2019-11-02,306.0
409,2019-11-09,321.0
410,2019-11-16,372.0
411,2019-11-23,328.0
412,2019-11-30,295.0
413,2019-12-07,280.0
414,2019-12-14,257.0
415,2019-12-21,226.0
416,2019-12-28,290.0
417,2020-01-04,302.0
418,2020-01-11,342.0
419,2020-01-18,402.0
420,2020-01-25,307.0
421,2020-02-01,370.0
422,2020-02-08,400.0
423,2020-02-15,378.0
424,2020-02-22,380.0
425,2020-02-29,373.0
426,2020-03-07,375.0
427,2020-03-14,389.0
428,2020-03-21,367.0
429,2020-03-28,377.0
430,2020-04-04,315.0
431,2020-04-11,341.0
432,2020-04-18,360.0
433,2020-04-25,399.0
434,2020-05-02,390.0
435,2020-05-09,502.0
436,2020-05-16,524.0
437,2020-05-23,618.0
438,2020-05-30,731.0
439,2020-06-06,868.0
440,2020-06-13,1151.0
441,2020-06-20,1369.0
442,2020-06-27,1460.0
