Weekly Infectious Disease Bulletin - Year 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
20,5/13/2018,5/19/2018,0,0,0,3,1,0,0,0,63,1,1,1,1022,0,1,16,0,0,0,0,0,0,6,0,2,0,0,1,2,1,40,0,0,0,0,0,0,0,3075,90,598,13
21,5/20/2018,5/26/2018,0,1,0,0,3,0,0,0,64,1,0,0,1086,0,3,15,0,0,0,1,0,3,7,0,1,0,0,3,4,0,40,0,0,0,0,0,0,1,3089,95,609,14
22,5/27/2018,6/2/2018,0,0,0,3,0,0,0,0,52,2,0,1,849,0,0,10,0,0,0,0,0,0,9,0,1,0,0,1,4,0,47,0,0,0,0,0,0,0,3023,89,563,12
23,6/3/2018,6/9/2018,0,0,0,3,0,0,0,0,75,0,1,1,873,0,1,9,0,0,0,2,0,1,3,0,1,1,0,3,1,1,47,0,0,0,0,0,0,0,2701,89,524,11
24,6/10/2018,6/16/2018,0,0,1,3,1,0,0,0,55,0,0,0,735,0,0,8,0,0,0,0,0,0,10,0,2,0,0,4,5,0,31,0,0,0,0,0,0,0,2403,74,466,15
25,6/17/2018,6/23/2018,0,0,0,1,1,0,0,0,59,2,1,0,716,0,0,9,0,0,0,3,0,0,8,0,4,0,0,1,3,0,39,0,0,0,0,0,0,2,2597,81,534,11
26,6/24/2018,6/30/2018,0,0,1,0,1,0,0,0,75,1,1,0,889,0,0,7,0,0,0,0,0,0,8,0,1,1,0,1,1,0,30,0,0,0,0,0,0,0,2987,87,603,16
27,7/1/2018,7/7/2018,0,1,1,7,2,0,0,0,56,2,1,0,1071,0,0,12,0,0,0,1,0,0,8,0,0,0,1,2,4,0,42,0,0,0,0,0,0,0,3173,94,592,15
28,7/8/2018,7/14/2018,0,0,1,1,2,0,0,0,44,0,2,1,1140,0,0,9,1,0,0,3,0,0,9,1,1,1,0,1,4,0,22,0,0,0,0,0,0,0,3384,94,649,19
29,7/15/2018,7/21/2018,0,1,2,1,0,0,0,0,41,0,0,0,1136,0,1,12,0,0,0,0,0,0,7,1,0,0,0,4,4,0,22,0,0,0,0,0,0,0,3202,85,634,16
30,7/22/2018,7/28/2018,0,0,1,1,0,0,0,0,56,0,0,1,1177,0,0,8,0,0,0,0,0,2,7,0,0,0,1,3,4,0,37,0,0,0,0,0,0,0,3033,89,624,15
31,7/29/2018,8/4/2018,0,0,0,0,1,0,0,0,50,1,0,0,1249,0,1,12,2,0,0,1,0,1,13,0,0,1,0,1,0,0,32,0,0,0,0,0,0,0,3006,81,647,16
32,8/5/2018,8/11/2018,0,1,2,1,0,0,0,0,59,0,0,0,1050,0,0,7,0,0,0,0,0,0,11,0,2,0,0,1,0,0,30,0,0,0,0,0,0,0,2890,88,611,16
33,8/12/2018,8/18/2018,0,1,2,1,1,0,0,0,42,1,1,0,1038,0,0,7,2,0,0,2,0,0,12,0,0,0,0,1,2,0,23,0,0,0,0,0,0,0,2873,85,607,17
34,8/19/2018,8/25/2018,1,1,2,4,0,0,0,0,66,2,1,0,796,0,0,7,1,0,0,1,0,0,7,0,0,1,0,3,3,0,31,0,0,0,0,0,0,2,2816,95,649,14
