Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/1/2017,37,25
1/8/2017,50,31
1/15/2017,39,28
1/22/2017,66,18
1/29/2017,30,10
2/5/2017,97,19
2/12/2017,30,40
2/19/2017,79,27
2/26/2017,26,30
3/5/2017,53,0
3/12/2017,69,33
3/19/2017,26,20
3/26/2017,38,32
4/2/2017,56,51
4/9/2017,25,0
4/16/2017,58,17
4/23/2017,49,21
4/30/2017,50,24
5/7/2017,53,17
5/14/2017,60,24
5/21/2017,59,29
5/28/2017,63,0
6/4/2017,68,23
6/11/2017,68,0
6/18/2017,53,15
6/25/2017,59,0
7/2/2017,59,10
7/9/2017,55,28
7/16/2017,64,14
7/23/2017,45,77
7/30/2017,31,38
8/6/2017,33,27
8/13/2017,60,16
8/20/2017,44,11
8/27/2017,35,10
9/3/2017,61,0
9/10/2017,53,0
9/17/2017,63,0
9/24/2017,71,16
10/1/2017,48,13
10/8/2017,56,29
10/15/2017,59,19
10/22/2017,55,0
10/29/2017,54,20
11/5/2017,68,0
11/12/2017,42,0
11/19/2017,55,0
11/26/2017,65,11
12/3/2017,49,40
12/10/2017,78,35
12/17/2017,47,12
12/24/2017,26,0
12/31/2017,48,32
