Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/3/2016,26,5
1/10/2016,30,0
1/17/2016,28,2
1/24/2016,29,6
1/31/2016,35,7
2/7/2016,29,0
2/14/2016,38,4
2/21/2016,37,6
2/28/2016,34,4
3/6/2016,23,2
3/13/2016,18,4
3/20/2016,17,4
3/27/2016,21,0
4/3/2016,21,5
4/10/2016,15,5
4/17/2016,13,2
4/24/2016,10,0
5/1/2016,10,3
5/8/2016,10,2
5/15/2016,11,2
5/22/2016,11,4
5/29/2016,7,1
6/5/2016,16,3
6/12/2016,10,0
6/19/2016,11,7
6/26/2016,14,2
7/3/2016,10,3
7/10/2016,17,0
7/17/2016,16,6
7/24/2016,16,0
7/31/2016,14,3
8/7/2016,13,0
8/14/2016,14,2
8/21/2016,14,4
8/28/2016,22,100
9/4/2016,11,51
9/11/2016,14,12
9/18/2016,9,8
9/25/2016,8,5
10/2/2016,4,4
10/9/2016,11,2
10/16/2016,8,2
10/23/2016,9,2
10/30/2016,10,1
11/6/2016,3,2
11/13/2016,7,0
11/20/2016,6,2
11/27/2016,6,3
12/4/2016,4,2
12/11/2016,6,4
12/18/2016,5,3
12/25/2016,5,2
