Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/5/2020,63,16
1/12/2020,64,7
1/19/2020,48,7
1/26/2020,40,10
2/2/2020,44,10
2/9/2020,67,7
2/16/2020,69,7
2/23/2020,45,12
3/1/2020,52,10
3/8/2020,37,7
3/15/2020,38,0
3/22/2020,58,9
3/29/2020,29,19
4/5/2020,28,0
4/12/2020,27,3
4/19/2020,37,10
4/26/2020,32,9
5/3/2020,26,5
5/10/2020,58,9
5/17/2020,45,9
5/24/2020,55,14
5/31/2020,67,16
6/7/2020,98,19
6/14/2020,83,18
6/21/2020,99,15
6/28/2020,87,21
7/5/2020,81,18
7/12/2020,81,19
7/19/2020,100,12
7/26/2020,91,31
8/2/2020,96,22
8/9/2020,85,13
8/16/2020,63,12
8/23/2020,55,8
8/30/2020,50,21
9/6/2020,43,8
9/13/2020,30,19
9/20/2020,36,13
9/27/2020,18,15
10/4/2020,27,14
10/11/2020,27,10
10/18/2020,21,11
10/25/2020,32,0
11/1/2020,21,5
11/8/2020,13,11
11/15/2020,20,10
11/22/2020,22,0
11/29/2020,31,12
12/6/2020,0,0
12/13/2020,10,6
12/20/2020,19,27
12/27/2020,9,8
