Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/6/2019,48,5
1/13/2019,32,5
1/20/2019,24,0
1/27/2019,33,5
2/3/2019,47,0
2/10/2019,65,11
2/17/2019,33,6
2/24/2019,39,25
3/3/2019,34,9
3/10/2019,29,9
3/17/2019,33,10
3/24/2019,22,9
3/31/2019,39,8
4/7/2019,32,13
4/14/2019,30,8
4/21/2019,35,8
4/28/2019,44,8
5/5/2019,36,25
5/12/2019,54,16
5/19/2019,40,4
5/26/2019,56,9
6/2/2019,30,20
6/9/2019,52,0
6/16/2019,83,18
6/23/2019,97,9
6/30/2019,85,9
7/7/2019,96,6
7/14/2019,85,0
7/21/2019,100,9
7/28/2019,86,14
8/4/2019,85,13
8/11/2019,96,0
8/18/2019,76,13
8/25/2019,64,5
9/1/2019,57,0
9/8/2019,52,17
9/15/2019,41,6
9/22/2019,37,5
9/29/2019,33,8
10/6/2019,31,6
10/13/2019,46,17
10/20/2019,40,21
10/27/2019,29,11
11/3/2019,50,0
11/10/2019,38,14
11/17/2019,45,8
11/24/2019,56,8
12/1/2019,44,20
12/8/2019,38,12
12/15/2019,52,17
12/22/2019,55,8
12/29/2019,59,9
