Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/6/2013,13,0
1/13/2013,16,0
1/20/2013,12,2
1/27/2013,14,2
2/3/2013,19,2
2/10/2013,22,3
2/17/2013,25,2
2/24/2013,19,2
3/3/2013,18,3
3/10/2013,13,2
3/17/2013,8,2
3/24/2013,20,4
3/31/2013,18,3
4/7/2013,41,2
4/14/2013,31,7
4/21/2013,28,4
4/28/2013,43,3
5/5/2013,33,1
5/12/2013,28,2
5/19/2013,26,3
5/26/2013,62,2
6/2/2013,53,3
6/9/2013,100,7
6/16/2013,61,6
6/23/2013,37,1
6/30/2013,34,4
7/7/2013,35,0
7/14/2013,29,2
7/21/2013,22,4
7/28/2013,21,1
8/4/2013,18,0
8/11/2013,21,2
8/18/2013,21,1
8/25/2013,20,0
9/1/2013,14,1
9/8/2013,18,0
9/15/2013,21,2
9/22/2013,16,0
9/29/2013,19,3
10/6/2013,14,2
10/13/2013,22,4
10/20/2013,20,0
10/27/2013,24,1
11/3/2013,22,0
11/10/2013,19,0
11/17/2013,19,6
11/24/2013,20,2
12/1/2013,14,0
12/8/2013,12,1
12/15/2013,15,2
12/22/2013,10,3
12/29/2013,17,2
