Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/4/2015,9,0
1/11/2015,14,3
1/18/2015,13,3
1/25/2015,16,4
2/1/2015,7,5
2/8/2015,11,4
2/15/2015,6,0
2/22/2015,11,7
3/1/2015,13,0
3/8/2015,15,2
3/15/2015,10,3
3/22/2015,10,5
3/29/2015,8,0
4/5/2015,10,2
4/12/2015,11,4
4/19/2015,8,0
4/26/2015,10,2
5/3/2015,12,4
5/10/2015,20,6
5/17/2015,17,2
5/24/2015,16,2
5/31/2015,14,1
6/7/2015,12,2
6/14/2015,17,2
6/21/2015,17,2
6/28/2015,14,0
7/5/2015,18,5
7/12/2015,16,4
7/19/2015,10,2
7/26/2015,9,0
8/2/2015,7,1
8/9/2015,10,0
8/16/2015,11,0
8/23/2015,9,0
8/30/2015,12,3
9/6/2015,14,2
9/13/2015,13,2
9/20/2015,12,0
9/27/2015,18,0
10/4/2015,14,2
10/11/2015,13,1
10/18/2015,12,2
10/25/2015,15,0
11/1/2015,12,2
11/8/2015,14,4
11/15/2015,16,4
11/22/2015,11,6
11/29/2015,12,3
12/6/2015,19,0
12/13/2015,16,2
12/20/2015,14,2
12/27/2015,23,4
