Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/7/2018,32,5
1/14/2018,21,6
1/21/2018,31,14
1/28/2018,25,9
2/4/2018,30,9
2/11/2018,6,0
2/18/2018,24,0
2/25/2018,16,5
3/4/2018,26,0
3/11/2018,28,17
3/18/2018,29,4
3/25/2018,22,11
4/1/2018,39,22
4/8/2018,25,0
4/15/2018,13,9
4/22/2018,12,12
4/29/2018,36,0
5/6/2018,45,16
5/13/2018,37,10
5/20/2018,23,5
5/27/2018,25,17
6/3/2018,29,14
6/10/2018,37,13
6/17/2018,26,10
6/24/2018,11,19
7/1/2018,26,23
7/8/2018,26,8
7/15/2018,13,9
7/22/2018,29,0
7/29/2018,31,10
8/5/2018,29,15
8/12/2018,18,15
8/19/2018,11,10
8/26/2018,23,5
9/2/2018,18,11
9/9/2018,30,9
9/16/2018,24,10
9/23/2018,21,14
9/30/2018,17,7
10/7/2018,16,7
10/14/2018,19,15
10/21/2018,21,12
10/28/2018,16,11
11/4/2018,22,16
11/11/2018,16,15
11/18/2018,22,14
11/25/2018,35,16
12/2/2018,30,11
12/9/2018,20,5
12/16/2018,30,8
12/23/2018,26,0
12/30/2018,40,10
