Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/5/2014,54,11
1/12/2014,49,5
1/19/2014,49,10
1/26/2014,34,0
2/2/2014,37,0
2/9/2014,43,8
2/16/2014,33,22
2/23/2014,58,9
3/2/2014,43,0
3/9/2014,29,12
3/16/2014,34,7
3/23/2014,41,8
3/30/2014,41,4
4/6/2014,32,0
4/13/2014,34,13
4/20/2014,41,6
4/27/2014,42,0
5/4/2014,33,5
5/11/2014,24,0
5/18/2014,34,0
5/25/2014,52,6
6/1/2014,38,3
6/8/2014,39,6
6/15/2014,50,8
6/22/2014,41,11
6/29/2014,41,16
7/6/2014,100,5
7/13/2014,93,8
7/20/2014,94,11
7/27/2014,100,0
8/3/2014,79,0
8/10/2014,73,5
8/17/2014,73,0
8/24/2014,49,12
8/31/2014,46,3
9/7/2014,36,9
9/14/2014,24,8
9/21/2014,30,7
9/28/2014,33,4
10/5/2014,30,4
10/12/2014,33,4
10/19/2014,21,4
10/26/2014,30,0
11/2/2014,16,0
11/9/2014,25,10
11/16/2014,22,8
11/23/2014,33,0
11/30/2014,35,0
12/7/2014,31,0
12/14/2014,30,0
12/21/2014,29,14
12/28/2014,37,6
