,month,public_admissions,total_rainfall,datetime_x,year_x,no_of_rainy_days,datetime_y,year_y,north,south,east,west,central
18,2015-07,32939,116.8,2015-07-01,2015,13,2015-07-01,2015,54.96236559139785,54.56182795698925,53.55241935483871,58.38978494623656,48.13172043010753
19,2015-08,31594,185.8,2015-08-01,2015,11,2015-08-01,2015,63.303763440860216,62.215053763440864,60.65725806451613,65.28629032258064,58.50672043010753
20,2015-09,32158,61.6,2015-09-01,2015,8,2015-09-01,2015,98.3,102.2875,95.89027777777778,106.28472222222223,89.90972222222223
21,2015-10,34543,87.2,2015-10-01,2015,9,2015-10-01,2015,88.11155913978494,93.52956989247312,89.08870967741936,95.69086021505376,81.73521505376344
22,2015-11,32187,72.6,2015-11-01,2015,13,2015-11-01,2015,54.25694444444444,52.80555555555556,56.28472222222222,55.24444444444445,53.581944444444446
23,2015-12,34777,302.3,2015-12-01,2015,19,2015-12-01,2015,52.03629032258065,52.06182795698925,54.651881720430104,52.60752688172043,50.07258064516129
24,2016-01,34513,126.6,2016-01-01,2016,15,2016-01-01,2016,47.67338709677419,49.42607526881721,49.99193548387097,46.55510752688172,49.86693548387097
25,2016-02,32389,186.0,2016-02-01,2016,10,2016-02-01,2016,49.070402298850574,49.17816091954023,50.82183908045977,45.48706896551724,48.34051724137931
26,2016-03,36198,6.2,2016-03-01,2016,6,2016-03-01,2016,56.58870967741935,57.89247311827957,55.293010752688176,55.494623655913976,57.13306451612903
27,2016-04,35475,89.8,2016-04-01,2016,14,2016-04-01,2016,58.3125,56.00416666666667,53.486111111111114,56.72083333333333,54.827777777777776
28,2016-05,35468,193.8,2016-05-01,2016,12,2016-05-01,2016,53.166666666666664,51.59139784946237,49.098118279569896,48.361559139784944,49.45161290322581
29,2016-06,35792,162.8,2016-06-01,2016,13,2016-06-01,2016,53.62777777777778,50.231944444444444,47.17638888888889,46.548611111111114,47.80972222222222
30,2016-07,36320,168.6,2016-07-01,2016,20,2016-07-01,2016,55.01075268817204,51.70967741935484,49.06182795698925,49.041666666666664,50.57661290322581
31,2016-08,36795,139.2,2016-08-01,2016,15,2016-08-01,2016,61.321236559139784,54.350806451612904,51.68413978494624,55.125,53.659946236559136
32,2016-09,35087,118.9,2016-09-01,2016,15,2016-09-01,2016,57.67777777777778,55.608333333333334,53.24444444444445,51.30972222222222,54.24861111111111
33,2016-10,35617,181.0,2016-10-01,2016,16,2016-10-01,2016,54.774193548387096,52.88575268817204,50.46236559139785,47.44086021505376,51.108870967741936
34,2016-11,35822,290.2,2016-11-01,2016,20,2016-11-01,2016,51.53194444444444,47.77361111111111,48.081944444444446,45.36666666666667,46.46666666666667
35,2016-12,36215,292.6,2016-12-01,2016,23,2016-12-01,2016,47.21639784946237,44.104838709677416,46.86693548387097,42.19758064516129,42.299731182795696
36,2017-01,35046,197.6,2017-01-01,2017,21,2017-01-01,2017,45.211021505376344,43.869623655913976,44.994623655913976,39.43010752688172,40.91935483870968
37,2017-02,34090,158.4,2017-02-01,2017,15,2017-02-01,2017,49.714285714285715,49.995535714285715,47.1875,42.64732142857143,45.86011904761905
38,2017-03,38556,136.2,2017-03-01,2017,11,2017-03-01,2017,56.50672043010753,57.65725806451613,53.97715053763441,48.11021505376344,52.51478494623656
39,2017-04,36350,208.6,2017-04-01,2017,21,2017-04-01,2017,56.025,57.669444444444444,53.44583333333333,47.170833333333334,50.3125
40,2017-05,38379,190.0,2017-05-01,2017,15,2017-05-01,2017,50.439516129032256,51.024193548387096,45.134408602150536,45.016129032258064,42.32258064516129
41,2017-06,37483,106.0,2017-06-01,2017,10,2017-06-01,2017,53.645833333333336,48.55,47.24305555555556,48.083333333333336,45.138888888888886
42,2017-07,38121,79.6,2017-07-01,2017,9,2017-07-01,2017,53.05913978494624,52.083333333333336,51.35618279569893,50.276881720430104,48.376344086021504
43,2017-08,38296,84.2,2017-08-01,2017,18,2017-08-01,2017,50.37768817204301,46.994623655913976,47.719086021505376,44.93682795698925,44.45295698924731
44,2017-09,36079,124.4,2017-09-01,2017,19,2017-09-01,2017,54.52916666666667,49.894444444444446,50.544444444444444,49.144444444444446,48.013888888888886
45,2017-10,37833,120.8,2017-10-01,2017,18,2017-10-01,2017,56.918010752688176,56.62096774193548,57.04704301075269,51.501344086021504,54.270161290322584
46,2017-11,38038,268.6,2017-11-01,2017,24,2017-11-01,2017,49.5875,46.670833333333334,50.165277777777774,43.44166666666667,45.05416666666667
47,2017-12,37927,371.2,2017-12-01,2017,23,2017-12-01,2017,50.11021505376344,49.41263440860215,51.240591397849464,43.723118279569896,47.78763440860215
48,2018-01,39096,287.0,2018-01-01,2018,25,2018-01-01,2018,45.82661290322581,42.733870967741936,46.63172043010753,39.57392473118279,44.280913978494624
49,2018-02,34470,14.8,2018-02-01,2018,5,2018-02-01,2018,51.32738095238095,52.86904761904762,47.75892857142857,47.857142857142854,52.78720238095238
50,2018-03,39695,44.6,2018-03-01,2018,10,2018-03-01,2018,52.498655913978496,53.375,49.64650537634409,48.40456989247312,50.69758064516129
51,2018-04,37785,61.2,2018-04-01,2018,14,2018-04-01,2018,52.63611111111111,54.897222222222226,49.770833333333336,48.62916666666667,53.38055555555555
52,2018-05,38874,132.2,2018-05-01,2018,19,2018-05-01,2018,54.17338709677419,54.69086021505376,48.604838709677416,47.03360215053763,54.026881720430104
53,2018-06,37331,182.6,2018-06-01,2018,17,2018-06-01,2018,50.78611111111111,51.15972222222222,46.50416666666667,48.50416666666667,52.01111111111111
54,2018-07,39309,143.2,2018-07-01,2018,10,2018-07-01,2018,57.581989247311824,61.473118279569896,57.64381720430107,55.083333333333336,57.66532258064516
55,2018-08,39208,121.6,2018-08-01,2018,11,2018-08-01,2018,55.649193548387096,57.26209677419355,54.840053763440864,51.46774193548387,55.73521505376344
56,2018-09,37759,144.4,2018-09-01,2018,13,2018-09-01,2018,56.205555555555556,57.422222222222224,54.923611111111114,54.3625,56.93055555555556
57,2018-10,40462,234.4,2018-10-01,2018,18,2018-10-01,2018,53.97849462365591,57.420698924731184,55.266129032258064,48.38978494623656,54.346774193548384
58,2018-11,40080,169.6,2018-11-01,2018,27,2018-11-01,2018,50.44305555555555,52.334722222222226,51.99444444444445,42.611111111111114,50.19305555555555
59,2018-12,40418,172.6,2018-12-01,2018,19,2018-12-01,2018,49.57392473118279,50.833333333333336,49.96370967741935,40.08870967741935,48.63172043010753
60,2019-01,40944,63.6,2019-01-01,2019,9,2019-01-01,2019,47.666666666666664,51.223118279569896,50.711021505376344,42.03763440860215,47.71774193548387
61,2019-02,35724,31.6,2019-02-01,2019,5,2019-02-01,2019,48.282738095238095,53.42857142857143,49.910714285714285,45.089285714285715,51.63988095238095
62,2019-03,41660,72.2,2019-03-01,2019,6,2019-03-01,2019,53.81586021505376,58.204301075268816,56.31989247311828,53.04435483870968,56.76747311827957
63,2019-04,40612,174.8,2019-04-01,2019,9,2019-04-01,2019,52.85,54.8875,52.25,51.395833333333336,53.01111111111111
64,2019-05,42081,69.0,2019-05-01,2019,13,2019-05-01,2019,49.98118279569893,48.19086021505376,47.94086021505376,47.806451612903224,47.651881720430104
65,2019-06,40029,173.8,2019-06-01,2019,16,2019-06-01,2019,46.30416666666667,48.02916666666667,46.11388888888889,46.268055555555556,46.38472222222222
66,2019-07,43792,12.2,2019-07-01,2019,8,2019-07-01,2019,51.755376344086024,53.05913978494624,52.778225806451616,52.446236559139784,52.25403225806452
67,2019-08,41629,11.8,2019-08-01,2019,6,2019-08-01,2019,54.94220430107527,58.473118279569896,57.096774193548384,56.060483870967744,57.03763440860215
68,2019-09,39750,22.8,2019-09-01,2019,4,2019-09-01,2019,69.81527777777778,76.86666666666666,73.38194444444444,71.93472222222222,71.6361111111111
69,2019-10,42164,176.8,2019-10-01,2019,15,2019-10-01,2019,54.600806451612904,56.655913978494624,56.564516129032256,52.725806451612904,55.825268817204304
70,2019-11,42102,137.4,2019-11-01,2019,15,2019-11-01,2019,48.11527777777778,51.92916666666667,53.325,43.81111111111111,49.42777777777778
71,2019-12,42686,421.5,2019-12-01,2019,14,2019-12-01,2019,40.780913978494624,45.625,44.501344086021504,39.98118279569893,44.55241935483871
72,2020-01,42524,88.4,2020-01-01,2020,6,2020-01-01,2020,41.73924731182796,47.49596774193548,45.02284946236559,41.38306451612903,47.725806451612904
73,2020-02,34612,65.0,2020-02-01,2020,8,2020-02-01,2020,39.95402298850575,43.541666666666664,46.94109195402299,39.43247126436781,46.72701149425287
74,2020-03,36241,108.8,2020-03-01,2020,8,2020-03-01,2020,41.151881720430104,43.20161290322581,44.46774193548387,43.553763440860216,48.97715053763441
75,2020-04,35142,188.0,2020-04-01,2020,12,2020-04-01,2020,42.31527777777778,41.361111111111114,43.225,37.981944444444444,43.34722222222222
76,2020-05,36018,255.6,2020-05-01,2020,16,2020-05-01,2020,45.663978494623656,43.43413978494624,44.92204301075269,38.97849462365591,45.229838709677416
77,2020-06,35668,233.8,2020-06-01,2020,21,2020-06-01,2020,44.147222222222226,42.06388888888889,39.956944444444446,34.458333333333336,39.105555555555554
78,2020-07,39344,140.8,2020-07-01,2020,22,2020-07-01,2020,44.16129032258065,41.329301075268816,40.013440860215056,36.58467741935484,40.1505376344086
79,2020-08,38168,103.4,2020-08-01,2020,12,2020-08-01,2020,47.99731182795699,46.30913978494624,46.060483870967744,40.681451612903224,45.553763440860216
80,2020-09,38025,150.2,2020-09-01,2020,18,2020-09-01,2020,46.393055555555556,46.80138888888889,44.14861111111111,39.480555555555554,44.78194444444444
81,2020-10,40268,78.8,2020-10-01,2020,16,2020-10-01,2020,48.61424731182796,50.655913978494624,49.526881720430104,41.35349462365591,47.85752688172043
82,2020-11,37361,220.6,2020-11-01,2020,19,2020-11-01,2020,44.75138888888889,47.82361111111111,44.736111111111114,33.8625,43.833333333333336
