Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2022-01-02,0,0
2022-01-09,0,0
2022-01-16,29,0
2022-01-23,32,0
2022-01-30,0,0
2022-02-06,0,0
2022-02-13,0,0
2022-02-20,0,0
2022-02-27,0,0
2022-03-06,0,64
2022-03-13,0,26
2022-03-20,23,0
2022-03-27,0,0
2022-04-03,0,0
2022-04-10,0,34
2022-04-17,0,45
2022-04-24,0,0
2022-05-01,0,0
2022-05-08,0,26
2022-05-15,0,0
2022-05-22,0,0
2022-05-29,0,16
2022-06-05,26,0
2022-06-12,0,0
2022-06-19,14,0
2022-06-26,0,0
2022-07-03,0,0
2022-07-10,0,0
2022-07-17,42,0
2022-07-24,0,0
2022-07-31,14,0
2022-08-07,0,46
2022-08-14,14,0
2022-08-21,0,0
2022-08-28,0,15
2022-09-04,15,0
2022-09-11,0,0
2022-09-18,0,0
2022-09-25,46,0
2022-10-02,0,0
2022-10-09,0,0
2022-10-16,0,0
2022-10-23,0,29
2022-10-30,0,16
2022-11-06,23,0
2022-11-13,0,22
2022-11-20,0,0
2022-11-27,0,0
2022-12-04,0,65
2022-12-11,0,0
2022-12-18,0,100
2022-12-25,0,0
