Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2019-01-06,0,0
2019-01-13,0,33
2019-01-20,0,0
2019-01-27,0,0
2019-02-03,0,0
2019-02-10,0,0
2019-02-17,58,0
2019-02-24,31,0
2019-03-03,0,0
2019-03-10,0,70
2019-03-17,35,0
2019-03-24,0,0
2019-03-31,23,31
2019-04-07,0,0
2019-04-14,0,0
2019-04-21,0,0
2019-04-28,31,0
2019-05-05,0,0
2019-05-12,0,65
2019-05-19,0,24
2019-05-26,0,0
2019-06-02,0,0
2019-06-09,0,0
2019-06-16,0,0
2019-06-23,26,0
2019-06-30,0,75
2019-07-07,47,0
2019-07-14,46,0
2019-07-21,0,0
2019-07-28,0,0
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,0,25
2019-08-25,0,0
2019-09-01,0,29
2019-09-08,0,0
2019-09-15,80,0
2019-09-22,0,23
2019-09-29,0,0
2019-10-06,0,0
2019-10-13,22,0
2019-10-20,0,0
2019-10-27,0,0
2019-11-03,0,72
2019-11-10,0,24
2019-11-17,0,0
2019-11-24,0,100
2019-12-01,65,0
2019-12-08,0,0
2019-12-15,42,69
2019-12-22,0,0
2019-12-29,0,0
