Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2014-01-05,37,27
2014-01-12,0,31
2014-01-19,0,24
2014-01-26,0,100
2014-02-02,0,0
2014-02-09,0,0
2014-02-16,0,0
2014-02-23,0,36
2014-03-02,39,0
2014-03-09,0,0
2014-03-16,0,0
2014-03-23,0,0
2014-03-30,11,0
2014-04-06,0,0
2014-04-13,19,0
2014-04-20,0,23
2014-04-27,0,0
2014-05-04,0,0
2014-05-11,0,0
2014-05-18,0,0
2014-05-25,0,15
2014-06-01,46,20
2014-06-08,0,0
2014-06-15,16,0
2014-06-22,0,0
2014-06-29,0,0
2014-07-06,15,0
2014-07-13,18,0
2014-07-20,0,0
2014-07-27,0,0
2014-08-03,0,0
2014-08-10,24,0
2014-08-17,0,0
2014-08-24,0,41
2014-08-31,0,22
2014-09-07,0,0
2014-09-14,0,0
2014-09-21,0,0
2014-09-28,0,0
2014-10-05,20,0
2014-10-12,0,0
2014-10-19,0,0
2014-10-26,0,0
2014-11-02,0,0
2014-11-09,0,0
2014-11-16,41,18
2014-11-23,0,0
2014-11-30,19,0
2014-12-07,0,0
2014-12-14,0,0
2014-12-21,0,0
2014-12-28,0,0
