Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2013-01-06,75,0
2013-01-13,16,0
2013-01-20,0,0
2013-01-27,0,0
2013-02-03,0,0
2013-02-10,0,0
2013-02-17,0,0
2013-02-24,0,0
2013-03-03,29,0
2013-03-10,0,22
2013-03-17,0,36
2013-03-24,29,0
2013-03-31,0,0
2013-04-07,22,0
2013-04-14,57,0
2013-04-21,0,0
2013-04-28,22,34
2013-05-05,0,0
2013-05-12,0,0
2013-05-19,17,0
2013-05-26,64,0
2013-06-02,0,0
2013-06-09,52,0
2013-06-16,0,0
2013-06-23,56,0
2013-06-30,24,0
2013-07-07,0,100
2013-07-14,0,0
2013-07-21,0,39
2013-07-28,0,0
2013-08-04,0,0
2013-08-11,62,0
2013-08-18,0,0
2013-08-25,0,56
2013-09-01,0,0
2013-09-08,0,0
2013-09-15,0,0
2013-09-22,0,0
2013-09-29,0,0
2013-10-06,36,0
2013-10-13,0,0
2013-10-20,0,49
2013-10-27,0,87
2013-11-03,0,0
2013-11-10,0,50
2013-11-17,0,0
2013-11-24,0,26
2013-12-01,0,0
2013-12-08,0,0
2013-12-15,0,0
2013-12-22,0,0
2013-12-29,38,0
