Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2018-01-07,33,0
2018-01-14,59,0
2018-01-21,0,0
2018-01-28,0,0
2018-02-04,0,0
2018-02-11,0,0
2018-02-18,0,0
2018-02-25,23,27
2018-03-04,0,33
2018-03-11,0,0
2018-03-18,25,30
2018-03-25,0,0
2018-04-01,34,31
2018-04-08,0,0
2018-04-15,40,0
2018-04-22,0,0
2018-04-29,0,0
2018-05-06,0,32
2018-05-13,0,0
2018-05-20,0,0
2018-05-27,39,0
2018-06-03,53,0
2018-06-10,0,0
2018-06-17,25,0
2018-06-24,0,0
2018-07-01,98,54
2018-07-08,0,0
2018-07-15,0,0
2018-07-22,0,0
2018-07-29,0,0
2018-08-05,35,0
2018-08-12,0,0
2018-08-19,0,0
2018-08-26,0,0
2018-09-02,100,0
2018-09-09,79,0
2018-09-16,0,0
2018-09-23,0,30
2018-09-30,0,0
2018-10-07,0,0
2018-10-14,51,0
2018-10-21,0,0
2018-10-28,34,0
2018-11-04,0,0
2018-11-11,0,32
2018-11-18,0,0
2018-11-25,0,0
2018-12-02,0,0
2018-12-09,0,38
2018-12-16,0,0
2018-12-23,0,0
2018-12-30,0,52
