Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2021-01-03,30,42
2021-01-10,0,0
2021-01-17,27,0
2021-01-24,33,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,0,0
2021-02-28,0,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,78,0
2021-03-28,0,64
2021-04-04,0,26
2021-04-11,0,0
2021-04-18,63,0
2021-04-25,0,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,56,0
2021-05-30,0,97
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,70
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,29,0
2021-08-29,42,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,34,0
2021-10-10,0,65
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,0,0
2021-11-21,0,0
2021-11-28,26,0
2021-12-05,0,0
2021-12-12,34,0
2021-12-19,54,0
2021-12-26,0,100
