Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2017-01-01,0,0
2017-01-08,58,0
2017-01-15,0,0
2017-01-22,26,0
2017-01-29,0,0
2017-02-05,0,0
2017-02-12,0,0
2017-02-19,0,0
2017-02-26,0,42
2017-03-05,0,0
2017-03-12,0,0
2017-03-19,34,0
2017-03-26,0,0
2017-04-02,0,100
2017-04-09,0,0
2017-04-16,53,0
2017-04-23,0,0
2017-04-30,0,0
2017-05-07,0,0
2017-05-14,0,0
2017-05-21,0,0
2017-05-28,0,0
2017-06-04,0,0
2017-06-11,0,38
2017-06-18,0,36
2017-06-25,0,27
2017-07-02,0,27
2017-07-09,0,0
2017-07-16,0,0
2017-07-23,0,0
2017-07-30,0,0
2017-08-06,0,0
2017-08-13,0,0
2017-08-20,0,0
2017-08-27,0,0
2017-09-03,63,0
2017-09-10,0,0
2017-09-17,0,0
2017-09-24,0,0
2017-10-01,0,0
2017-10-08,0,0
2017-10-15,77,0
2017-10-22,0,0
2017-10-29,0,0
2017-11-05,0,0
2017-11-12,0,0
2017-11-19,0,52
2017-11-26,0,0
2017-12-03,78,0
2017-12-10,0,0
2017-12-17,0,0
2017-12-24,0,0
2017-12-31,33,0
