Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2015-01-04,0,0
2015-01-11,0,26
2015-01-18,0,0
2015-01-25,0,0
2015-02-01,0,66
2015-02-08,0,53
2015-02-15,0,0
2015-02-22,0,0
2015-03-01,0,0
2015-03-08,34,0
2015-03-15,45,0
2015-03-22,0,0
2015-03-29,47,0
2015-04-05,0,34
2015-04-12,0,0
2015-04-19,0,0
2015-04-26,30,65
2015-05-03,51,0
2015-05-10,0,0
2015-05-17,0,0
2015-05-24,38,0
2015-05-31,0,0
2015-06-07,100,0
2015-06-14,41,0
2015-06-21,0,0
2015-06-28,0,33
2015-07-05,0,25
2015-07-12,0,0
2015-07-19,0,0
2015-07-26,0,33
2015-08-02,0,0
2015-08-09,0,21
2015-08-16,38,0
2015-08-23,0,0
2015-08-30,0,0
2015-09-06,0,28
2015-09-13,0,15
2015-09-20,0,0
2015-09-27,0,0
2015-10-04,0,0
2015-10-11,0,21
2015-10-18,0,0
2015-10-25,17,0
2015-11-01,62,0
2015-11-08,0,0
2015-11-15,32,0
2015-11-22,0,0
2015-11-29,0,0
2015-12-06,0,0
2015-12-13,0,0
2015-12-20,60,0
2015-12-27,0,27
