dengue fever
74.0
64.0
60.0
50.0
84.0
87.0
65.0
50.0
55.0
45.0
64.0
72.0
48.0
52.0
81.0
77.0
64.0
86.0
96.0
80.0
80.0
81.0
99.0
87.0
128.0
151.0
140.0
131.0
124.0
110.0
94.0
127.0
115.0
92.0
102.0
75.0
73.0
72.0
99.0
103.0
122.0
105.0
84.0
104.0
99.0
87.0
99.0
80.0
78.0
104.0
92.0
111.0
132.0
204.0
219.0
264.0
292.0
322.0
246.0
294.0
247.0
272.0
307.0
305.0
314.0
402.0
491.0
505.0
536.0
547.0
556.0
611.0
637.0
742.0
813.0
805.0
838.0
802.0
676.0
540.0
389.0
305.0
288.0
255.0
378.0
338.0
382.0
449.0
337.0
370.0
402.0
439.0
435.0
371.0
495.0
457.0
401.0
442.0
365.0
372.0
347.0
380.0
371.0
414.0
436.0
479.0
401.0
336.0
234.0
273.0
369.0
193.0
186.0
209.0
224.0
210.0
225.0
240.0
244.0
235.0
282.0
251.0
261.0
291.0
427.0
456.0
458.0
506.0
550.0
671.0
888.0
818.0
744.0
633.0
484.0
545.0
438.0
418.0
367.0
339.0
362.0
396.0
344.0
339.0
278.0
297.0
213.0
186.0
168.0
158.0
149.0
162.0
212.0
177.0
198.0
188.0
158.0
256.0
228.0
237.0
259.0
212.0
173.0
99.0
172.0
189.0
110.0
91.0
129.0
90.0
107.0
137.0
113.0
120.0
135.0
157.0
109.0
178.0
151.0
192.0
207.0
240.0
242.0
272.0
263.0
293.0
250.0
226.0
221.0
250.0
225.0
246.0
217.0
303.0
214.0
257.0
235.0
235.0
224.0
246.0
266.0
198.0
254.0
285.0
259.0
356.0
333.0
372.0
459.0
547.0
620.0
636.0
623.0
523.0
419.0
589.0
507.0
411.0
395.0
372.0
304.0
376.0
289.0
224.0
229.0
242.0
180.0
216.0
212.0
198.0
215.0
157.0
192.0
215.0
234.0
246.0
223.0
266.0
221.0
210.0
197.0
221.0
274.0
310.0
242.0
175.0
174.0
138.0
125.0
94.0
108.0
84.0
85.0
84.0
72.0
74.0
86.0
59.0
81.0
72.0
64.0
70.0
90.0
73.0
63.0
62.0
77.0
51.0
54.0
41.0
32.0
34.0
32.0
49.0
37.0
32.0
51.0
37.0
42.0
48.0
48.0
50.0
66.0
62.0
79.0
73.0
75.0
63.0
53.0
51.0
66.0
60.0
56.0
52.0
51.0
33.0
40.0
53.0
58.0
39.0
51.0
55.0
62.0
77.0
62.0
44.0
50.0
24.0
37.0
33.0
40.0
51.0
66.0
83.0
68.0
54.0
45.0
48.0
50.0
28.0
38.0
51.0
37.0
37.0
36.0
24.0
38.0
38.0
56.0
55.0
74.0
62.0
63.0
64.0
52.0
75.0
55.0
59.0
75.0
56.0
44.0
41.0
56.0
50.0
59.0
42.0
66.0
75.0
75.0
49.0
63.0
40.0
51.0
51.0
60.0
78.0
75.0
71.0
78.0
97.0
109.0
114.0
107.0
127.0
160.0
205.0
245.0
207.0
221.0
179.0
135.0
232.0
181.0
156.0
133.0
109.0
96.0
99.0
108.0
125.0
134.0
156.0
192.0
287.0
307.0
376.0
400.0
396.0
464.0
430.0
492.0
591.0
661.0
644.0
601.0
597.0
521.0
522.0
474.0
412.0
326.0
314.0
299.0
258.0
243.0
227.0
239.0
241.0
306.0
321.0
372.0
328.0
295.0
280.0
257.0
226.0
290.0
302.0
342.0
402.0
307.0
370.0
400.0
378.0
380.0
373.0
375.0
389.0
367.0
377.0
315.0
341.0
360.0
399.0
390.0
502.0
524.0
618.0
731.0
868.0
1151.0
1369.0
1460.0
1444.0
1665.0
1725.0
1791.0
1376.0
1667.0
1336.0
1285.0
1153.0
937.0
725.0
671.0
590.0
605.0
528.0
591.0
563.0
440.0
408.0
354.0
258.0
279.0
228.0
227.0
236.0
196.0
193.0
194.0
165.0
151.0
135.0
141.0
142.0
148.0
145.0
139.0
145.0
129.0
120.0
113.0
102.0
112.0
128.0
84.0
117.0
92.0
116.0
129.0
118.0
137.0
135.0
126.0
112.0
104.0
75.0
80.0
82.0
70.0
79.0
56.0
53.0
46.0
60.0
74.0
109.0
105.0
104.0
85.0
76.0
75.0
59.0
42.0
56.0
63.0
48.0
64.0
61.0
68.0
76.0
106.0
146.0
178.0
169.0
153.0
168.0
206.0
200.0
263.0
369.0
421.0
441.0
510.0
642.0
733.0
942.0
1002.0
845.0
1311.0
1273.0
1563.0
1451.0
1459.0
1253.0
1171.0
1186.0
1164.0
918.0
1035.0
1092.0
894.0
879.0
679.0
661.0
577.0
569.0
545.0
472.0
426.0
398.0
376.0
373.0
313.0
318.0
294.0
313.0
267.0
242.0
326.0
289.0
272.0
285.0
279.0
278.0
272.0
186.0
223.0
218.0
148.0
138.0
111.0
119.0
149.0
128.0
108.0
116.0
132.0
113.0
128.0
118.0
100.0
121.0
133.0
111.0
162.0
270.0
214.0
271.0
235.0
209.0
202.0
213.0
