end,dengue haemorrhagic fever,chikungunya fever,zika virus infection,dengue_fever_gt,insect_repellent_gt,weekly mean rainfall (mm),highest 30 min rainfall(mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature,maximum temperature,minimum temperature
2012-11-10,0.125,0.0,0.0,0.0,0.0,2.3428571428571425,22.6,22.6,22.6,27.385714285714283,33.1,23.7
2012-11-17,0.125,0.02040816326530612,0.0,0.0,0.0,6.914285714285716,49.2,49.2,49.2,27.02857142857143,32.8,23.5
2012-11-24,0.125,0.0,0.0,0.0,0.0,4.6000000000000005,49.2,49.2,49.2,27.15714285714285,32.6,24.0
2012-12-01,0.0,0.0,0.0,0.24,0.27,9.114285714285716,49.2,49.2,49.2,27.185714285714287,32.7,24.1
2012-12-08,0.0,0.061224489795918366,0.0,0.0,0.0,8.114285714285716,49.2,49.2,49.2,27.27142857142857,32.2,23.4
2012-12-15,0.125,0.0,0.0,0.0,0.0,10.05714285714286,78.8,78.8,78.8,27.11428571428572,32.2,22.7
2012-12-22,0.25,0.061224489795918366,0.0,0.0,0.0,18.17142857142857,78.8,78.8,78.8,26.557142857142857,31.9,22.3
2012-12-29,0.125,0.0,0.0,0.0,0.0,10.857142857142858,78.8,78.8,78.8,26.47142857142857,31.6,23.3
2013-01-05,0.25,0.0,0.0,0.75,0.0,0.8857142857142856,78.8,78.8,78.8,26.7,31.3,24.1
2013-01-12,0.125,0.02040816326530612,0.0,0.16,0.0,41.4,78.8,78.8,78.8,26.25,31.3,22.2
2013-01-19,0.0,0.02040816326530612,0.0,0.0,0.0,2.56,73.0,73.0,73.0,27.1,32.0,23.1
2013-01-26,0.375,0.02040816326530612,0.0,0.0,0.0,9.085714285714284,73.0,73.0,73.0,27.485714285714288,35.2,21.6
2013-02-02,0.125,0.0,0.0,0.0,0.0,23.914285714285715,73.0,73.0,73.0,26.685714285714287,32.0,22.6
2013-02-09,0.0,0.04081632653061224,0.0,0.0,0.0,2.6,73.0,73.0,73.0,26.571428571428573,31.1,23.6
2013-02-16,0.125,0.0,0.0,0.0,0.0,0.0,73.0,73.0,73.0,27.714285714285715,32.1,24.7
2013-02-23,0.25,0.0,0.0,0.0,0.0,9.971428571428572,95.2,95.2,95.2,26.428571428571427,31.3,24.0
2013-03-02,0.25,0.04081632653061224,0.0,0.29,0.0,28.4,95.2,95.2,95.2,25.65714285714285,30.7,21.5
2013-03-09,0.125,0.2857142857142857,0.0,0.0,0.22,2.914285714285714,95.2,95.2,95.2,26.65714285714285,32.5,24.1
2013-03-16,0.125,0.02040816326530612,0.0,0.0,0.36,18.4,95.2,95.2,95.2,27.37142857142857,32.9,23.0
2013-03-23,0.25,0.061224489795918366,0.0,0.29,0.0,0.2285714285714286,29.6,29.6,29.6,27.97142857142857,32.1,24.4
2013-03-30,0.25,0.061224489795918366,0.0,0.0,0.0,0.3999999999999999,29.6,29.6,29.6,28.15714285714285,33.5,24.3
2013-04-06,0.5,0.12244897959183673,0.0,0.22,0.0,5.914285714285716,29.6,29.6,29.6,28.4,33.1,24.8
