date,station,weekly mean rainfall (mm),highest 30 min rainfall(mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature,maximum temperature,minimum temperature
2013-04-20,Changi,3.857142857142857,10.4,10.4,10.4,28.37142857142857,34.9,22.1
2013-04-27,Changi,3.085714285714286,10.4,10.4,10.4,27.885714285714283,33.4,24.0
2013-05-04,Changi,2.4285714285714284,10.4,10.4,10.4,28.24285714285714,33.1,24.0
2013-05-11,Changi,14.628571428571428,11.55,11.55,11.55,27.67142857142857,32.6,23.5
2013-05-18,Changi,6.857142857142857,11.55,11.55,11.55,28.8,33.9,22.9
2013-05-25,Changi,1.2,11.55,11.55,11.55,28.5,33.4,25.2
2013-06-01,Changi,10.657142857142857,11.55,11.55,11.55,27.5,33.1,22.6
2013-06-08,Changi,6.485714285714286,5.6,5.6,5.6,27.957142857142856,33.7,22.9
2013-06-15,Changi,2.542857142857143,5.6,5.6,5.6,29.342857142857145,33.6,24.8
2013-06-22,Changi,2.314285714285714,5.6,5.6,5.6,29.985714285714288,34.5,25.8
2013-06-29,Changi,1.0285714285714287,5.6,5.6,5.6,29.071428571428573,33.7,23.0
2013-07-06,Changi,1.0285714285714287,5.6,5.6,5.6,27.842857142857145,32.4,23.8
2013-07-13,Changi,6.285714285714286,9.35,9.35,9.35,27.771428571428572,32.4,23.4
2013-07-20,Changi,7.171428571428572,9.35,9.35,9.35,27.385714285714283,31.9,23.7
2013-07-27,Changi,8.142857142857142,9.35,9.35,9.35,27.985714285714288,33.5,22.9
2013-08-03,Changi,3.8285714285714283,9.35,9.35,9.35,27.75714285714286,31.8,22.0
2013-08-10,Changi,15.114285714285716,10.8,10.8,10.8,27.557142857142857,31.3,23.2
2013-08-17,Changi,4.3428571428571425,10.8,10.8,10.8,27.614285714285717,31.5,21.6
2013-08-24,Changi,1.5142857142857142,10.8,10.8,10.8,28.25714285714286,32.0,23.9
2013-08-31,Changi,1.5142857142857142,10.8,10.8,10.8,28.25714285714286,32.8,24.6
2013-09-07,Changi,15.085714285714285,13.15,13.15,13.15,26.585714285714285,32.0,22.2
2013-09-14,Changi,1.7714285714285716,13.15,13.15,13.15,27.32857142857143,32.0,21.9
2013-09-21,Changi,7.142857142857143,13.15,13.15,13.15,27.985714285714288,32.2,22.8
2013-09-28,Changi,12.342857142857143,13.15,13.15,13.15,28.285714285714285,32.9,21.9
2013-10-05,Changi,4.142857142857143,13.15,13.15,13.15,27.728571428571428,32.3,22.2
2013-10-12,Changi,4.314285714285715,34.95,34.95,34.95,28.214285714285715,33.2,23.0
2013-10-19,Changi,25.48571428571429,34.95,34.95,34.95,28.014285714285712,32.7,20.9
2013-10-26,Changi,5.3999999999999995,34.95,34.95,34.95,27.271428571428572,32.6,23.3
2013-11-02,Changi,10.085714285714285,34.95,34.95,34.95,27.0,32.3,24.1
2013-11-09,Changi,12.742857142857144,11.0,11.0,11.0,27.185714285714287,32.6,23.2
2013-11-16,Changi,6.314285714285715,11.0,11.0,11.0,26.857142857142858,32.7,23.2
2013-11-23,Changi,2.1142857142857143,11.0,11.0,11.0,27.585714285714285,32.9,22.9
2013-11-30,Changi,12.314285714285715,11.0,11.0,11.0,27.057142857142857,32.8,23.4
2013-12-07,Changi,23.62857142857143,29.95,29.95,29.95,25.82857142857143,31.1,22.7
2013-12-14,Changi,8.628571428571428,29.95,29.95,29.95,26.857142857142858,32.0,23.1
2013-12-21,Changi,14.400000000000002,29.95,29.95,29.95,26.571428571428573,33.7,21.2
2013-12-28,Changi,0.8285714285714285,29.95,29.95,29.95,26.7,31.1,23.9
2014-01-04,Changi,5.266666666666667,29.95,29.95,29.95,26.366666666666664,29.7,24.8
2014-01-11,Changi,8.17142857142857,10.0,10.8,15.4,26.17142857142857,31.8,23.3
2014-01-18,Changi,2.6,18.2,18.2,18.2,26.271428571428572,30.3,23.7
2014-01-25,Changi,0.0,0.0,0.0,0.0,25.75714285714286,29.4,23.2
2014-02-01,Changi,0.0,0.0,0.0,0.0,26.071428571428573,31.6,22.4
2014-02-08,Changi,0.028571428571428574,0.2,0.2,0.2,26.3,31.6,22.7
2014-02-15,Changi,0.0,0.0,0.0,0.0,27.67142857142857,33.8,24.7
2014-02-22,Changi,0.0,0.0,0.0,0.0,27.75714285714286,32.6,24.9
2014-03-01,Changi,0.0,0.0,0.0,0.0,27.428571428571427,32.7,24.0
2014-03-08,Changi,0.0,0.0,0.0,0.0,27.714285714285715,33.8,23.8
2014-03-15,Changi,0.0,0.0,0.0,0.0,28.2,34.1,24.2
2014-03-22,Changi,9.37142857142857,20.4,26.2,37.8,27.157142857142855,33.6,23.6
2014-03-29,Changi,0.05714285714285715,0.4,0.4,0.4,28.5,34.4,24.2
2014-04-05,Changi,3.6285714285714286,15.2,17.2,17.4,28.385714285714283,34.2,22.8
2014-04-12,Changi,4.2,9.8,10.0,10.0,27.728571428571428,34.5,23.9
2014-04-19,Changi,4.142857142857143,21.2,26.4,28.8,28.514285714285712,33.5,23.5
2014-04-26,Changi,1.0857142857142859,2.0,3.2,5.0,28.271428571428572,34.4,24.7
2014-05-03,Changi,2.7142857142857144,8.2,10.2,13.4,28.74285714285714,33.7,24.5
2014-05-10,Changi,4.571428571428571,10.0,13.6,14.6,29.0,33.8,24.3
2014-05-17,Changi,4.914285714285714,18.2,20.2,20.2,28.785714285714285,33.6,23.0
2014-05-24,Changi,5.3999999999999995,9.4,13.4,16.4,27.614285714285717,32.6,23.2
2014-05-31,Changi,3.0285714285714285,7.8,10.4,13.0,28.614285714285717,32.7,25.0
2014-06-07,Changi,5.371428571428572,17.2,17.2,17.2,28.185714285714287,32.2,24.2
2014-06-14,Changi,3.542857142857143,16.4,18.4,18.6,29.24285714285714,33.0,23.0
2014-06-21,Changi,0.7999999999999999,2.4,3.0,3.2,29.814285714285713,33.6,23.9
2014-06-28,Changi,0.14285714285714285,0.8,1.0,1.0,29.085714285714285,33.4,25.2
2014-07-05,Changi,3.257142857142857,18.0,19.0,19.0,28.32857142857143,32.6,23.9
2014-07-12,Changi,8.285714285714286,24.6,25.6,26.4,28.12857142857143,32.1,22.6
2014-07-19,Changi,1.2,7.6,7.8,7.8,29.114285714285717,32.5,23.4
2014-07-26,Changi,0.0,0.0,0.0,0.0,29.62857142857143,33.2,26.7
2014-08-02,Changi,10.514285714285714,18.4,27.0,27.6,28.214285714285715,32.0,21.1
2014-08-09,Changi,2.8857142857142857,9.2,9.2,9.2,27.857142857142858,31.7,23.6
2014-08-16,Changi,6.514285714285714,33.6,37.8,39.8,27.24285714285714,31.6,23.5
2014-08-23,Changi,3.542857142857143,9.8,10.2,10.2,28.271428571428572,31.9,24.7
2014-08-30,Changi,19.714285714285715,36.4,41.4,42.4,26.928571428571427,31.6,22.0
2014-09-06,Changi,1.4,5.4,8.6,9.2,28.099999999999998,32.5,23.4
2014-09-13,Changi,0.9142857142857144,3.2,3.2,3.2,28.342857142857138,32.0,24.9
2014-09-20,Changi,4.514285714285714,29.8,31.4,31.4,29.014285714285712,32.9,22.4
2014-09-27,Changi,5.2,13.0,14.4,16.4,28.285714285714285,33.2,23.3
2014-10-04,Changi,0.9428571428571428,5.0,6.0,6.6,28.75714285714286,32.6,24.1
2014-10-11,Changi,0.0,0.0,0.0,0.0,28.814285714285713,32.6,25.2
2014-10-18,Changi,5.4,15.2,18.0,24.0,28.32857142857143,34.1,24.2
