date,total_public_private_pay,residential_public_private_pay,commercial_public_private_pay,industrial_public_private_pay,institutional_others_public_private_pay,civil_engineering_public_private_pay,total_public_pay,residential_public_pay,commercial_public_pay,industrial_public_pay,institutional_others_public_pay,civil_engineering_public_pay,total_private_pay,residential_private_pay,commercial_private_pay,industrial_private_pay,institutional_others_private_pay,civil_engineering_private_pay,total_public_private_con,residential_public_private_con,commercial_public_private_con,industrial_public_private_con,institutional_others_public_private_con,civil_engineering_public_private_con,total_public_con,residential_public_con,commercial_public_con,industrial_public_con,institutional_others_public_con,civil_engineering_public_con,total_private_con,residential_private_con,commercial_private_con,industrial_private_con,institutional_others_private_con,civil_engineering_private_con,Total,  Manufacturing,  Construction,  Wholesale Trade,  Retail Trade,  Transportation & Storage,  Accommodation,  Food & Beverage Services,  Information & Communications,  Finance & Insurance,  Real Estate,  Professional Services,  Administrative & Support Services,"  Education, Health & Social Services","  Arts, Entertainment, Recreation & Other Services",  Others
2006-07-01,1055.9,299.3,95.7,245.1,178.5,237.4,418.5,79,6,29.4,134.6,169.5,637.4,220.2,89.7,215.6,44,67.9,1553.7,298.5,549.8,356.9,153.1,195.4,221.6,93.7,11.9,3.5,88.6,23.9,1332.2,204.8,537.9,353.4,64.5,171.5,3748,194,228,807,410,139,10,179,241,240,61,466,242,158,351,22
2006-06-01,1039.4,296.8,110.3,229.1,181.7,221.6,389.6,80.3,5.8,28.9,131.7,143,649.9,216.5,104.5,200.3,50,78.7,1375.3,620.3,42.9,326.7,192.4,193.1,355.5,78.6,0.7,5.2,134.4,136.6,1019.8,541.7,42.2,321.5,58,56.4,3891,178,224,809,441,179,11,225,254,289,58,470,228,152,346,27
2006-05-01,982,274.2,95.4,253.2,156,203.2,369.6,79.6,7.3,26.6,117.8,138.4,612.4,194.6,88.1,226.7,38.2,64.8,997.5,370.6,106.5,292.1,104.7,123.6,226,46.1,7,7.8,78.5,86.7,771.5,324.5,99.5,284.3,26.2,36.9,3935,209,230,854,412,157,3,213,266,271,61,512,204,175,346,22
2006-04-01,911.3,250.1,101.6,213.9,132.5,213.2,334.6,68.3,5.5,12.4,97.7,150.7,576.7,181.8,96.1,201.5,34.8,62.5,1031.4,531.5,31,277.3,105.7,85.9,140.3,45.3,0,16,30,48.9,891.1,486.1,31,261.3,75.6,37,3742,193,194,812,401,155,7,240,218,225,51,520,201,144,357,24
2006-03-01,1242.7,259.7,96.5,292,263.8,330.7,672.9,78.2,8.2,77.4,235.2,274,569.7,181.5,88.3,214.7,28.6,56.6,991.8,315.8,11.4,281.9,169.3,213.3,455.7,91.5,0.1,30.6,127.3,206.3,536.1,224.4,11.3,251.4,42,7,4579,224,285,966,422,207,13,274,280,298,74,615,260,200,436,25
2006-02-01,908.5,225.4,68.3,189.6,206,219.3,458.5,73.7,5.2,30.8,178.8,170,450,151.7,63,158.8,27.2,49.3,719.4,297.6,73.1,86.9,146.6,115.3,282.9,69.1,9,0.4,131.3,73.1,436.5,228.5,64.1,86.5,15.3,42.2,3532,162,210,758,363,162,5,173,217,198,46,490,216,156,365,11
2006-01-01,1045.7,276.4,92.4,206.8,210.4,259.6,482,65.6,8.9,36.6,178.3,192.6,563.8,210.8,83.5,170.3,32.1,67.1,1275.3,239.7,285.5,348.7,262.2,139.2,405.3,144.2,0.2,3.8,221.4,35.8,870,95.6,285.3,344.9,40.8,103.4,2990,159,160,635,279,124,5,136,198,197,32,449,197,150,250,19
2005-12-01,1291.2,284.3,94.7,416.9,227.5,267.8,565.8,83.4,10.7,50.5,195,226.3,725.5,200.9,84.1,366.5,32.5,41.5,824.4,290.1,93.1,114.5,227.7,98.9,327.6,115.6,0.4,11.2,122.8,77.6,496.7,174.5,92.8,103.3,105,21.3,3382,165,193,729,343,143,8,151,222,268,44,405,222,148,317,24
2005-11-01,972.4,260.8,99,194.4,196.1,222.1,454.1,74.5,10.9,38.3,164.2,166.3,518.3,186.2,88.2,156.1,32,55.8,919,365.6,106.5,191.2,179.6,76.1,374.5,163.4,15.9,11.5,129.4,54.4,544.5,202.2,90.6,179.8,50.2,21.7,3333,134,166,736,356,140,3,190,228,241,43,409,185,162,319,21
2005-10-01,1007,274.1,95,195,188.6,254.3,490.8,79.5,10,37.7,160.2,203.4,516.2,194.6,85.1,157.3,28.4,50.9,970.6,230.3,74,338.4,276.5,51.5,338,48.2,11.8,0,252.4,25.6,632.6,182,62.2,338.4,24.1,25.9,3734,184,206,823,357,147,3,218,221,241,54,503,214,210,324,29
2005-09-01,1008.6,277.3,90.6,186.6,200.6,253.5,499.3,80.8,9.2,45.6,164.3,199.3,509.3,196.5,81.4,141,36.3,54.1,1068.1,321.6,199.2,214.8,100.5,232,393.3,98.9,6.8,2.8,95.5,189.3,674.8,222.7,192.4,212,5,42.8,3809,178,199,849,447,162,7,230,236,221,52,493,205,174,337,19
2005-08-01,974.2,272.8,86.8,198.9,195.6,220.1,446.4,76.1,8.6,42.7,150.7,168.3,527.8,196.7,78.3,156.2,44.9,51.8,403.4,119.2,69.6,41.5,55.3,118,107.1,16.3,1.4,8,31.6,49.8,296.3,102.8,68.2,33.5,23.7,68.2,3893,166,184,872,474,174,7,209,241,222,48,519,212,188,350,27
2005-07-01,992,276.4,74.2,243.7,195.4,202.3,447,79.7,13.1,33.8,156.4,163.9,545,196.7,61.1,209.9,39,38.4,1075,300.1,32.7,416.3,38.8,287.1,265.6,118.8,0.3,2.1,18.8,125.7,809.4,181.3,32.4,414.2,20,161.4,3640,181,201,833,404,148,3,235,234,184,59,441,206,175,319,17
2005-06-01,984.1,293,87.1,163.6,212.1,228.4,476.4,82.3,14.4,44.7,164.8,170.2,507.7,210.7,72.6,118.9,47.3,58.2,575.3,170.1,26.1,104.3,154.6,120.1,298.2,67.4,7.4,11.3,132.9,79.3,277.1,102.7,18.8,93.1,21.7,40.8,3672,172,208,851,371,185,6,190,225,232,35,482,218,166,312,19
2005-05-01,900.2,268.2,70.9,132.1,198.9,230.2,468.1,84.5,11.4,35.5,150.4,186.3,432.1,183.7,59.4,96.6,48.5,43.9,431.4,94.9,62.3,68,92.7,113.4,57.1,15.3,7.9,1.9,25.8,6.3,374.3,79.7,54.5,66,67,107.1,3727,191,196,902,366,155,3,165,217,197,55,474,313,192,284,17
2005-04-01,839.5,257.5,80.3,118.1,192.5,191.2,412,88,8.7,15.1,145.4,154.9,427.5,169.6,71.6,103,47.1,36.3,850.2,418.2,62.5,103.2,229.6,36.7,171.7,9.4,9.5,6.7,121.8,24.3,678.5,408.8,53,96.5,107.8,12.4,3884,178,218,921,349,180,5,196,205,220,65,492,320,176,337,22
2005-03-01,1267,250.2,68.6,229.4,267.8,451,795.9,80.6,20.9,98,222.1,374.4,471.1,169.6,47.7,131.4,45.7,76.7,1909.3,854.3,65.6,512.7,197.6,279.1,741.2,445.8,16.5,9.9,135.8,133.2,1168,408.5,49,502.8,61.8,145.9,3844,162,225,891,439,172,4,225,196,195,66,444,303,167,332,23
2005-02-01,938.5,234.5,57.1,136.3,223.9,286.7,574.8,77.2,16.6,48.5,186.9,245.5,363.7,157.4,40.5,87.8,36.9,41.1,1465.1,342.9,189.8,522.3,245.8,164.2,713.3,10.3,21.5,302.6,227.5,151.5,751.7,332.7,168.3,219.7,18.4,12.7,2659,110,141,628,230,145,3,115,142,170,36,365,216,126,211,21
2005-01-01,1046.2,291.1,68.5,183.4,224.7,278.5,577.9,92.2,11.4,49.5,179.4,245.4,468.3,198.8,57.2,133.9,45.3,33.2,964.5,216.8,27.6,491.9,111.8,116.5,197,25.4,7.5,2.8,105,56.4,767.5,191.4,20.1,489.1,6.8,60.1,3376,155,153,799,304,151,3,164,194,197,54,502,277,164,239,20
2004-12-01,1021.7,295.2,82.7,140.9,256.7,246.1,594.5,107.6,11,51,206,218.9,427.2,187.6,71.8,89.9,50.7,27.3,912.7,427.7,89,23.7,147.2,225.1,183.3,46.2,2.1,0.4,100,34.7,729.3,381.5,86.9,23.3,47.2,190.5,3479,146,161,831,315,144,9,181,184,262,51,453,260,165,297,20
2004-11-01,966,270.5,77.4,177.8,207.3,233.1,500.4,88.8,8.1,28.3,165.2,210,465.6,181.7,69.3,149.4,42.1,23.1,1513.9,590.1,323.8,225.5,75.2,299.3,474.1,116.9,5.8,4.2,62.7,284.7,1039.8,473.2,318,221.4,12.6,14.6,3149,143,141,752,300,145,7,180,138,173,51,454,237,139,276,13
2004-10-01,987.1,276.7,74.5,189.9,240.4,205.6,535.8,94.6,10.4,51.6,198.3,180.9,451.3,182.1,64,138.4,42.1,24.7,782.8,82,28.2,123.9,82.6,466.1,464.9,17.2,7.7,1.8,69.3,368.8,317.9,64.8,20.5,122.1,13.3,97.3,3607,151,177,883,346,130,7,195,229,198,48,491,287,139,305,21
2004-09-01,1040.6,290.2,59.1,146.4,230.3,314.6,631.7,92,7.8,51.7,184.9,295.3,408.9,198.2,51.3,94.8,45.4,19.3,548.8,145.5,78.2,186.9,55.1,83,134.4,19.5,32,5.4,28.6,48.9,414.5,126,46.3,181.6,26.5,34.1,3491,157,163,848,337,173,15,183,177,197,66,464,253,149,290,19
2004-08-01,916.5,276.1,57.9,153,220.5,209,530.6,98,9.3,46.4,183.2,193.8,385.9,178.1,48.7,106.6,37.4,15.1,1045,221.8,41.6,110.7,137.9,533,802.1,132.7,12.4,8,135.3,513.6,242.9,89.1,29.2,102.7,2.6,19.3,3585,132,186,908,357,153,10,179,193,162,44,500,261,184,296,20
2004-07-01,948.3,290.9,55.6,171.9,227.7,202.1,533.5,99.1,9.5,50.2,187.8,187,414.8,191.9,46.2,121.7,39.9,15.1,516.7,233.7,64.2,19.6,99.9,99.3,173,76.4,11.2,3.7,48.3,33.3,343.7,157.3,53,15.9,51.6,66,3795,138,191,942,421,156,3,241,234,173,50,459,279,173,312,23
2004-06-01,882.2,271.5,57.8,130.4,226.7,195.8,475,77.9,6.5,30.9,181.8,177.9,407.2,193.6,51.3,99.5,44.8,17.9,1057.5,239.4,46,24.1,311,436.9,732.6,94.9,2.1,2.3,216.4,416.9,324.9,144.5,44,21.9,94.6,20,3455,138,173,867,316,142,7,188,196,175,62,495,226,188,259,23
2004-05-01,947.1,287.5,48.3,207.6,203.3,200.5,502.9,83.7,8.7,55.3,167.8,187.4,444.3,203.8,39.6,152.3,35.5,13.1,584.1,344.4,18.8,63.6,87.7,69.7,345.5,249.9,2.1,3.3,76.8,13.5,238.5,94.5,16.8,60.3,10.9,56.2,3592,174,185,837,414,159,10,198,218,182,48,452,214,179,296,26
2004-04-01,856,274.7,55.2,181.7,155.2,189.3,410.2,84,9.9,19.9,120.2,176.1,445.9,190.7,45.2,161.8,35,13.2,743.9,393.5,115.7,39.8,104.3,90.6,197.8,50.5,0.9,1.7,100.3,44.4,546.2,343,114.8,38.1,4,46.3,3801,162,233,909,352,167,1,191,193,188,59,596,257,174,298,21
2004-03-01,1164.8,289,49.3,209.4,359.9,257.2,751,98.3,11.2,76.1,323.1,242.3,413.8,190.7,38.2,133.3,36.7,15,1176.1,622,39.8,129.3,119.7,265.3,540.4,376.5,0.2,27.7,79.3,56.8,635.7,245.5,39.6,101.6,40.5,208.5,3941,152,218,968,398,204,6,196,236,182,58,518,275,180,332,18
2004-02-01,916.9,249.7,55.6,250.7,172.8,188,466.9,80.8,14.2,49.5,147.3,175.3,450,169,41.5,201.2,25.5,12.8,709.6,370.9,19,56.2,192,71.5,279.3,33.9,3.3,1.7,180.9,59.6,430.3,337.1,15.7,54.5,11.1,11.9,3468,134,205,794,382,162,8,189,206,173,42,443,247,170,290,23
2004-01-01,969,304.3,62.5,163.7,226.4,212.2,525.8,79.9,17.4,37.5,191.9,199.1,443.3,224.4,45.1,126.2,34.5,13,696.5,192.6,263.7,43.4,52.9,143.8,247.3,62.7,0.7,2.7,42.5,138.8,449.1,130,263,40.7,10.5,5,2890,91,162,704,268,149,1,124,195,134,50,444,195,155,206,12
2003-12-01,1125.9,352.6,81.6,148.9,289.3,253.4,686.4,102.3,27.1,72.7,247,237.4,439.4,250.3,54.6,76.2,42.3,16.1,520.8,226.4,10.2,139.1,92.9,52.2,235.6,49.8,1.6,57.8,78.8,47.6,285.2,176.7,8.7,81.2,14.1,4.6,3240,110,148,819,313,133,3,198,185,209,49,416,228,161,257,11
2003-11-01,1001.8,294.3,62.2,205.5,196.8,242.9,583.1,84.7,21.3,82.8,168.5,225.8,418.7,209.6,41,122.7,28.3,17.2,929.3,208.8,121.5,80.9,473.2,45,637.8,94.7,12.9,53.9,433.8,42.5,291.5,114.1,108.5,27,39.5,2.4,3048,125,171,737,295,143,4,153,180,152,40,373,212,171,272,20
2003-10-01,967.8,307.4,66.2,123.7,229.7,240.8,558.9,87.8,20.4,38.3,188.1,224.3,408.9,219.6,45.8,85.4,41.6,16.5,1178.9,485.4,15.8,247.4,367.6,62.7,439.6,244.6,3.8,9.8,121.9,59.7,739.3,240.9,12,237.6,245.7,3.1,3746,123,181,972,376,140,2,228,232,160,45,476,235,230,321,25
2003-09-01,1081.8,319.8,66.4,228.8,199,267.9,613.5,91.7,15.4,81.7,168.6,256.1,468.4,228.1,50.9,147.1,30.4,11.8,957.1,395.5,35.5,129.5,345.3,51.4,410.3,99.9,19,5.2,249.6,36.6,546.9,295.6,16.4,124.3,95.7,14.8,3744,160,220,936,399,159,11,201,247,156,46,502,246,153,286,22
2003-08-01,1082.4,299.8,76.7,208.2,225.4,272.3,650.7,91,19.1,91.7,193.3,255.7,431.7,208.9,57.6,116.5,32.1,16.6,554.7,143.7,24,49.4,101.2,236.3,425.4,84.9,10.4,33.7,66.2,230.2,129.3,58.8,13.6,15.7,35,6.2,3490,128,171,891,346,151,6,181,240,134,50,502,224,166,282,18
2003-07-01,1039.7,304.1,62.2,203.4,239.4,230.7,591,88.6,14,71.9,204.8,211.7,448.7,215.5,48.2,131.5,34.6,19,860,264,41.6,27.4,235.8,291.3,583.3,83.6,1.8,0.5,229.4,268.1,276.7,180.4,39.8,26.9,6.4,23.2,3584,134,188,851,368,173,6,195,256,124,40,508,272,160,288,21
2003-06-01,1058.1,299.3,62.4,254.7,214.9,226.9,562.6,91.4,14.4,59.2,182.7,214.9,495.5,207.9,47.9,195.5,32.2,12,1205.8,197,76.5,277.4,468.4,186.5,643.9,14.1,35.3,16.5,397.4,180.7,561.8,182.9,41.2,260.9,71,5.8,3335,125,191,833,356,132,1,165,229,129,53,430,232,172,267,20
2003-05-01,996.5,308.2,56.3,209.1,197.9,225,526.7,93.9,12,53.3,160.2,207.4,469.8,214.4,44.3,155.8,37.8,17.7,816.1,247.5,94.8,283.1,168.5,22.2,378.2,80.8,13.3,210,60.3,13.8,437.9,166.7,81.5,73.2,108.2,8.5,3126,138,213,775,331,141,4,158,198,123,33,418,209,141,226,18
2003-04-01,936.8,272.4,56.2,234.9,167.8,205.5,467.5,92.3,12.3,40.4,136.8,185.7,469.3,180.2,43.9,194.5,30.9,19.8,579.3,245.3,54.1,89.9,84.8,105.2,157.1,39.4,16.8,11.3,52.8,36.7,422.2,205.9,37.3,78.5,32,68.5,2977,156,180,730,288,147,6,159,190,98,46,370,236,155,201,15
2003-03-01,1075.3,300.7,77.5,132.7,292.1,272.3,674.6,95.5,20.3,50,253.7,255.2,400.7,205.2,57.2,82.7,38.4,17.1,1376.5,266.4,21.9,578,406.1,104.1,781,164.4,13.4,125.2,385.6,92.4,595.5,102,8.5,452.9,20.6,11.6,3545,158,214,886,356,161,3,161,231,105,41,501,255,158,303,12
2003-02-01,841,233.9,48.8,137.7,192.4,228.2,493,72.2,18.3,37.2,154.7,210.6,348,161.7,30.6,100.5,37.6,17.6,459.4,76.6,24.6,108.7,176,73.5,315.3,8.8,0.9,91.7,156.2,57.7,144.1,67.8,23.8,17,19.8,15.8,2664,109,184,684,278,113,2,122,179,82,32,327,202,137,203,10
2003-01-01,1011.7,326.8,71.6,190.9,225.2,197.2,519.8,88.5,20,40.3,185.6,185.4,491.8,238.3,51.6,150.5,39.7,11.8,580.4,237.3,15.6,35.6,195.5,96.4,363,118.6,2.1,1.4,147,93.9,217.3,118.7,13.5,34.1,48.6,2.5,2840,102,164,738,273,139,4,125,166,120,34,396,192,160,217,10
2002-12-01,1231.5,376.9,101.3,228.4,239.3,285.6,649.3,111.9,27.2,39.7,197.7,272.8,582.2,265,74.1,188.8,41.6,12.8,755.1,183.4,79.7,76.6,350.2,65.3,476,36.9,5.6,46.2,337.3,49.9,279.1,146.5,74,30.4,12.9,15.3,2578,106,146,588,296,114,5,133,144,97,34,333,212,149,206,15
2002-11-01,942,317.6,54.9,160.4,237.9,171.2,511.5,103.7,14.1,32.6,199.4,161.8,430.5,213.9,40.8,127.8,38.6,9.4,2025.7,147.7,68.4,429.3,1245,135.4,1813.4,34.3,14,401.1,1238.5,125.5,212.3,113.4,54.4,28.2,6.5,9.8,2871,128,144,686,335,126,5,172,179,88,26,367,205,194,199,17
2002-10-01,1017.4,358.5,78.2,175.1,208.1,197.5,502.2,102.8,13.8,32.2,167.6,185.8,515.2,255.8,64.5,143,40.4,11.7,695.4,320.5,66.3,17.1,257.4,34.1,259,36.7,5.5,0.7,188.1,28.1,436.4,283.8,60.8,16.4,69.3,6.1,3464,155,219,800,441,164,7,177,237,102,29,431,248,187,241,26
2002-09-01,1030.1,330.3,74.6,211.2,212.4,201.6,507.9,110.2,9.3,34.8,168.8,184.9,522.2,220.2,65.3,176.4,43.6,16.7,949.4,372.7,8,390.8,120.9,57,464.4,49.4,0.3,260.1,108.4,46.2,485,323.3,7.7,130.7,12.5,10.9,3176,130,207,783,406,141,5,171,207,92,37,371,203,171,235,17
2002-08-01,1067.5,332.5,70.1,204.7,199.2,261.1,572.8,120.6,12.5,40,152,247.7,494.8,212,57.6,164.7,47.1,13.4,1362.5,255.6,32.8,177.5,156.4,740.2,1039.5,40.8,15.8,102.9,149.6,730.4,323,214.8,17,74.6,6.8,9.9,3176,133,211,728,369,149,3,187,218,93,34,411,231,152,240,17
2002-07-01,1143.1,325.6,68.6,188,230.5,330.5,667.4,112.9,18,39.7,186.6,310.3,475.8,212.7,50.7,148.4,43.9,20.2,702.7,202.4,33.6,49.3,183,234.4,398.5,51.2,16.6,6.5,147.2,177,304.2,151.1,17.1,42.8,35.8,57.4,3360,153,204,815,377,168,2,178,220,90,29,443,243,191,225,22
2002-06-01,1015.9,324.5,69.5,217.8,191.1,213.1,519.4,112.7,23.3,34.6,152.9,195.9,496.6,211.8,46.2,183.2,38.2,17.2,2316,188.5,422.4,239,278.1,1188,1668.7,38.9,11.9,175.2,265,1177.8,647.3,149.7,410.5,63.9,13.1,10.2,2726,151,183,633,325,126,3,123,204,86,33,361,174,149,161,14
2002-05-01,1064.2,333.7,79.5,178.8,202.7,269.5,566.3,98.1,27.8,36.9,157.6,245.9,497.9,235.6,51.8,142,45,23.6,1131.4,387.6,28.8,114,243.8,357.2,753,113,7.7,102.8,182.9,346.7,378.3,274.7,21.1,11.2,60.9,10.5,3356,156,221,846,374,132,7,165,212,113,46,414,234,178,251,7
2002-04-01,1072.7,334,97.2,240.7,171.1,229.6,521.6,116.8,33.3,38.9,131.1,201.6,551.1,217.3,63.9,201.8,40.1,28,1063.7,449.2,36.8,72.7,167.4,337.6,596.7,130,9.4,3.4,130.2,323.7,467,319.2,27.4,69.3,37.2,13.9,3435,138,240,848,409,159,2,169,221,99,37,490,227,160,223,13
2002-03-01,1295.7,306.9,104.9,205.9,316.9,361.2,808.9,114.7,48,27.7,287.3,331.1,486.9,192.2,56.9,178.1,29.6,30.1,1643.8,333,170.5,739.9,300.1,100.3,1165,225.1,8.1,617.5,219.5,94.7,478.7,107.9,162.4,122.4,80.6,5.5,3331,163,245,783,389,119,5,166,228,120,38,473,215,149,224,14
2002-02-01,1116.2,270.9,106.4,223,224.8,291.1,601.4,86.5,36.2,30.7,187.2,260.7,514.8,184.4,70.2,192.3,37.6,30.4,852.7,380.3,61,82.3,289.2,40,596.8,278.5,31.6,1.4,247.2,38.1,255.9,101.7,29.4,80.9,42,1.9,2370,123,173,564,248,91,4,98,200,79,26,328,166,130,131,9
2002-01-01,1264.7,330.9,103.6,278.6,255.3,296.3,619,90.3,38.9,24.2,208.3,257.3,645.7,240.6,64.8,254.4,47,39,988.3,391.1,241.6,53.3,187.4,114.9,411.3,35.1,126.4,7,153.9,89,576.9,356,115.2,46.3,33.5,25.9,2767,142,233,645,286,140,4,134,213,65,27,356,177,133,201,11
2001-12-01,1261.9,366.8,103.2,219.9,275.2,296.9,700.9,158,39.8,27.3,210.4,265.4,561.1,208.7,63.4,192.6,64.9,31.5,1538.6,431.2,64.9,200.5,313.9,528.2,1008.6,77.4,1.1,117.3,285.9,526.9,530.1,353.8,63.8,83.3,27.9,1.3,2315,137,174,544,240,108,4,103,164,75,20,327,116,132,162,9
2001-11-01,1271.1,333.6,109.6,221.3,257.5,349.1,687.9,117.1,37.2,22.4,212.1,299.2,583.2,216.6,72.4,198.9,45.4,49.9,586.4,128.5,8.6,148,128,173.4,376.7,49.2,2.4,66.3,88.9,170,209.7,79.3,6.2,81.7,39.2,3.3,2654,185,190,584,282,127,0,148,157,96,53,342,154,151,177,8
2001-10-01,1343.5,347.6,111.2,279.3,258.5,347,685.6,132.1,36.7,22.7,210.4,283.8,657.9,215.5,74.6,256.6,48.1,63.2,1724,291.7,56.2,668.6,422.3,285.2,829.8,116.5,0.5,69.8,379.7,263.4,894.2,175.2,55.7,598.9,42.7,21.8,3004,153,221,676,378,148,3,191,218,87,35,361,156,152,210,15
2001-09-01,1365.3,350.6,118,251.8,279.9,365,738.5,124.7,46,17.1,233.3,317.4,626.8,225.9,71.9,234.7,46.6,47.6,662.2,135.6,25.4,137.5,278.9,84.7,332.9,35.2,6.6,0.5,218.2,72.4,329.3,100.3,18.9,137,60.8,12.3,2771,193,197,687,352,113,4,166,178,85,28,294,163,118,182,11
2001-08-01,1330.9,348.6,108.8,272,235.2,366.3,694.1,131.9,46.7,16.4,170.9,328.2,636.9,216.6,62.2,255.7,64.3,38.1,1413.6,715.8,41.2,42.3,170.7,443.5,664.8,91.4,1.4,4.1,134.5,433.4,748.8,624.4,39.8,38.2,36.2,10.2,3074,209,246,735,396,121,4,189,199,75,50,343,164,130,195,18
2001-07-01,1436.6,356.5,136.6,318.6,243.8,381.2,721.7,140.9,64.2,15.2,182,319.4,714.9,215.5,72.4,303.4,61.8,61.8,894.5,194.3,41.8,242.3,245.9,170.2,511.7,129.2,19.9,1.1,211.7,149.8,382.9,65.2,21.9,241.1,34.2,20.4,2905,175,248,652,338,140,1,191,189,97,39,342,180,115,190,8
2001-06-01,1227.1,360.9,99.5,219.9,216.1,330.7,660.1,148,36.5,15.1,166.2,294.4,566.9,212.9,63,204.8,49.9,36.3,1016.8,149.7,92,278,309.4,187.9,586.9,86.5,19.1,7.3,292.5,181.6,429.9,63.2,72.8,270.7,16.9,6.3,2685,170,221,597,306,132,5,171,175,88,37,289,184,110,187,13
2001-05-01,1325.4,363.8,130.7,246,198.6,386.4,718.2,156.4,60.3,13.8,152.4,335.3,607.2,207.4,70.4,232.2,46.2,51.1,1671.1,468.8,17.4,261,360.6,563.2,958.4,125.1,1.1,5.7,276.1,550.4,712.7,343.8,16.3,255.4,84.5,12.8,2881,195,247,616,309,146,1,170,177,107,32,322,157,109,276,17
2001-04-01,1340,358.8,122.4,186.2,307.4,365.2,823.2,148,55.2,14.4,265.1,340.5,516.7,210.8,67.2,171.8,42.3,24.7,1204.9,323.5,25.2,244.8,212.1,399.4,617.8,106.3,8.7,34.3,155.1,313.4,587.2,217.2,16.5,210.5,57,86,2720,183,256,631,292,135,3,145,180,98,30,290,173,108,184,12
2001-03-01,1289,350.9,142,190.8,266.5,338.8,747.3,164.1,63.9,16.8,222.5,280.1,541.7,186.8,78.1,174,44,58.7,1603.3,267.2,17.7,668.2,211,439.2,803.4,118.6,3.5,127,156.4,397.9,799.9,148.6,14.2,541.2,54.6,41.3,3084,157,329,682,323,162,3,140,210,99,45,376,208,125,211,14
2001-02-01,1369.4,322.2,120.3,196.6,251.3,479,851.8,139.8,63.1,14.7,206.3,427.9,517.6,182.5,57.2,181.9,45,51,902.3,269.1,89.1,141.7,334.5,67.9,362.9,12.2,6.1,2.8,284.2,57.6,539.4,256.9,83,138.9,50.3,10.4,2806,152,286,612,288,136,2,118,219,100,33,333,169,117,219,22
2001-01-01,1319.5,352.5,160.5,229.7,221.3,355.6,684.9,142.1,65.6,14.6,173.4,289.2,634.5,210.3,94.9,215,47.9,66.5,1083.9,555.6,15.1,296.7,173,43.5,278.1,8.9,4.3,78,149.2,37.7,805.8,546.7,10.8,218.7,23.8,5.8,2307,121,241,516,217,134,4,111,184,106,21,274,136,91,139,12
2000-12-01,1393.5,405.7,135.1,229.6,251.8,371.4,785,178.7,53.6,17.7,216.6,318.5,608.5,227,81.5,211.9,35.2,53,1584.1,698.9,186.4,142.4,209.1,347.4,681.4,133.7,55.8,2.2,160,329.7,902.7,565.2,130.6,140.2,49.1,17.7,2282,124,200,509,209,121,5,108,209,157,23,258,122,97,132,8
2000-11-01,1385.3,394.9,146.8,270.5,227.4,345.7,753.5,188.8,59.4,14.8,190.1,300.5,631.8,206.1,87.4,255.7,37.3,45.2,819,446.2,37.4,70.6,190,74.9,419.9,201.7,2,0.4,166.2,49.7,399.1,244.5,35.4,70.1,23.9,25.2,2730,149,239,605,288,127,3,118,231,146,30,309,200,125,153,7
2000-10-01,1445,395.5,153.9,287.1,218.3,390.1,758.1,192.2,57.7,14.9,174.6,318.8,686.9,203.3,96.3,272.2,43.8,71.3,2486.1,313,27.8,87.4,170.4,1887.5,2021.3,87.6,4.5,0.2,110.9,1818.1,464.7,225.4,23.3,87.2,59.5,69.4,2702,166,235,612,272,135,1,125,239,139,42,286,164,97,176,13
2000-09-01,1358.8,442,148.4,235.5,226.1,306.8,721.1,198.4,52.4,15.3,195.7,259.4,637.7,243.6,96.1,220.2,30.4,47.5,769.1,300.5,42.8,129.2,215.1,81.4,373.2,143.3,10.8,1.5,154.7,62.9,395.8,157.2,32.1,127.7,60.4,18.5,3018,188,281,651,343,125,2,142,260,167,45,341,192,99,169,13
2000-08-01,1417.2,438.7,152.4,266.1,243,317,751.2,212.6,49.3,18.4,195.8,275.1,666,226.1,103.1,247.6,47.2,42,1111.1,526.4,28.3,79.1,333.2,144.2,525.9,229.5,3.5,0.2,227.9,64.8,585.2,296.9,24.8,78.9,105.2,79.4,2929,224,276,578,318,132,5,112,286,123,53,342,172,103,196,9
2000-07-01,1372.7,434.1,125,320.7,226.5,266.4,674,203.7,43,17.7,170.3,239.3,698.7,230.3,82,303,56.2,27.1,881.3,298.2,94.3,215.6,142.4,130.9,390.3,161.9,8.6,1.1,125,93.7,491.1,136.3,85.7,214.5,17.4,37.2,3242,243,333,698,353,141,4,127,345,131,50,303,194,114,185,21
2000-06-01,1438.2,444.5,133.1,360.1,245,255.5,709.5,214.7,48.2,15.3,207.2,224,728.7,229.7,84.9,344.7,37.8,31.5,6452,315.2,52.1,668.9,225.4,5190.4,5433.4,61,2.9,5.3,189.1,5175.2,1018.6,254.3,49.2,663.6,36.3,15.2,3284,246,320,651,320,142,6,142,348,185,50,344,195,114,205,16
2000-05-01,1279.7,452,124.6,294.5,180.8,227.8,621.6,225.3,47,13.1,145.5,190.7,658,226.6,77.6,281.4,35.3,37.1,791.2,238.9,61.8,145.9,193.9,150.6,393.6,75.6,45.1,0.3,140,132.6,397.6,163.3,16.7,145.7,53.9,18.1,3286,230,306,650,382,127,15,133,379,136,54,355,189,115,204,11
